troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.5117236898250307
1tbedt"bolster"tbedt1.0t0.07550177026271343
2tbedt"mattress cover"tbedt1.0t0.43015852139019806
3tbedtlegtbedt1.0t0.18518798133868625
4tbedtbox springtbedt1.0t0.21740153326661804
5tbedtheadboardtbedt1.0t0.42642481247485436
6tbedt"mattress"tbedt1.0t0.5194263507418663
7tbedt"pillow protector"tbedt1.0t0.2984986536173124
8tbedt"elastic"tbedt1.0t0.11476860543027352
9tbedt"footboard"tbedt1.0t0.35252847785791197
10tbedt"switch"t"refrigerator"t0.0t0.10608581335956964
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.3709360317820819
12tbedt"egg tray"t"refrigerator"t0.0t0.29962066842934454
13tbedtshelf channelt"refrigerator"t0.0t0.1978158429429403
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.08783579485320658
15tbedt"storage door"t"refrigerator"t0.0t0.24248475930233043
16tbedtfreezer doort"refrigerator"t0.0t0.318869344246391
17tbedtguard railt"refrigerator"t0.0t0.14958294210275128
18tbedtcrispert"refrigerator"t0.0t0.10101676511991493
19tbedtglass covert"refrigerator"t0.0t0.2417101958228515
20tbedt"butter compartment"t"refrigerator"t0.0t0.2305039221646032
21tbedt"thermostat control"t"refrigerator"t0.0t0.20353325138995093
22tbedt"freezer compartment"t"refrigerator"t0.0t0.2768981949663379
23tbedt"ice cube tray"t"refrigerator"t0.0t0.20549780797939957
24tbedt"meat keeper"t"refrigerator"t0.0t0.10261655703428535
25tbedt"door stop"t"refrigerator"t0.0t0.17721734706590325
26tbedtshelft"refrigerator"t0.0t0.2232684230372438
27tbedt"dairy compartment"t"refrigerator"t0.0t0.1734619797775097
28tbedtdoor shelft"refrigerator"t0.0t0.22385833740340844
29tbedtdrain hosetdishwashert0.0t0.2650176346642662
30tbedt"overflow protection switch"tdishwashert0.0t0.1418509597377242
31tbedt"tub"tdishwashert0.0t0.45611756073686527
32tbedtpumptdishwashert0.0t0.14338757368195548
33tbedt"gasket"tdishwashert0.0t0.1165000421562673
34tbedt"water hose"tdishwashert0.0t0.25003023318707635
35tbedt"heating element"tdishwashert0.0t0.12869234372570115
36tbedtracktdishwashert0.0t0.21104998625515542
37tbedt"cutlery basket"tdishwashert0.0t0.24518363880979063
38tbedt"wash tower"tdishwashert0.0t0.2440802097378469
39tbedt"motor"tdishwashert0.0t0.09915793346209978
40tbedt"detergent dispenser"tdishwashert0.0t0.19290709464640715
41tbedtslidetdishwashert0.0t0.0895830686493936
42tbedt"leveling foot"tdishwashert0.0t0.11917048437062021
43tbedt"insulating material"tdishwashert0.0t0.08481326143059403
44tbedtspray armtdishwashert0.0t0.20596627897938635
45tbedtrinse-aid dispensertdishwashert0.0t0.17631765035292715
46tbedtlocktdoort0.0t0.13304533174832356
47tbedtcornicetdoort0.0t0.18371610148806578
48tbedt"hanging stile"tdoort0.0t0.15827084855724885
49tbedt"entablature"tdoort0.0t0.10936448267327079
50tbedt"top rail"tdoort0.0t0.15770159199304795
51tbedtmiddle paneltdoort0.0t0.10555634478711369
52tbedt"bottom rail"tdoort0.0t0.15737020196017737
53tbedtpaneltdoort0.0t0.11986948982925445
54tbedtjambtdoort0.0t0.1751835027944594
55tbedtdoorknobtdoort0.0t0.25806117384107446
56tbedt"threshold"tdoort0.0t0.09775390143237075
57tbedt"weatherboard"tdoort0.0t0.21983491737453656
58tbedtlock railtdoort0.0t0.16127482591132178
59tbedt"shutting stile"tdoort0.0t0.12328368880352845
60tbedtheadertdoort0.0t0.08265051507906644
61tbedtringt"mortise lock"t0.0t0.1211063023891851
62tbedtkeywayt"mortise lock"t0.0t0.08089239053548115
63tbedt"cotter pin"t"mortise lock"t0.0t0.1446948506339542
64tbedtspringt"mortise lock"t0.0t0.15389241394429454
65tbedt"rotor"t"mortise lock"t0.0t0.12720545971474256
66tbedtcylinder caset"mortise lock"t0.0t0.13259185305313514
67tbedtkeyt"mortise lock"t0.0t0.08977031522445798
68tbedt"faceplate"t"mortise lock"t0.0t0.1668226592654617
69tbedt"dead bolt"t"mortise lock"t0.0t0.24420489781329904
70tbedtcylindert"mortise lock"t0.0t0.14089537823978251
71tbedt"stator"t"mortise lock"t0.0t0.11100968171704255
72tbedt"strike plate"t"mortise lock"t0.0t0.12692757343275643
73tbedt"valve seat shaft"t"toilet"t0.0t0.23741772636729944
74tbedt"tank lid"t"toilet"t0.0t0.21334127004964326
75tbedtconical washert"toilet"t0.0t0.18109135620124928
76tbedt"lift chain"t"toilet"t0.0t0.14210065372376465
