troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.71477836
1tbedt"bolster"tbedt1.0t0.31433517
2tbedt"mattress cover"tbedt1.0t0.6574093
3tbedtlegtbedt1.0t0.4334257
4tbedtbox springtbedt1.0t0.49871397
5tbedtheadboardtbedt1.0t0.6509808
6tbedt"mattress"tbedt1.0t0.7198432
7tbedt"pillow protector"tbedt1.0t0.6522066
8tbedt"elastic"tbedt1.0t0.31774962
9tbedt"footboard"tbedt1.0t0.5618715
10tbedt"switch"t"refrigerator"t0.0t0.35686362
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.49652314
12tbedt"egg tray"t"refrigerator"t0.0t0.5212025
13tbedtshelf channelt"refrigerator"t0.0t0.49091563
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.3787663
15tbedt"storage door"t"refrigerator"t0.0t0.5437341
16tbedtfreezer doort"refrigerator"t0.0t0.53442657
17tbedtguard railt"refrigerator"t0.0t0.48834267
18tbedtcrispert"refrigerator"t0.0t0.26621172
19tbedtglass covert"refrigerator"t0.0t0.508232
20tbedt"butter compartment"t"refrigerator"t0.0t0.42798677
21tbedt"thermostat control"t"refrigerator"t0.0t0.40341553
22tbedt"freezer compartment"t"refrigerator"t0.0t0.47550657
23tbedt"ice cube tray"t"refrigerator"t0.0t0.4998614
24tbedt"meat keeper"t"refrigerator"t0.0t0.4218007
25tbedt"door stop"t"refrigerator"t0.0t0.47994778
26tbedtshelft"refrigerator"t0.0t0.46578237
27tbedt"dairy compartment"t"refrigerator"t0.0t0.3901039
28tbedtdoor shelft"refrigerator"t0.0t0.55421996
29tbedtdrain hosetdishwashert0.0t0.44328722
30tbedt"overflow protection switch"tdishwashert0.0t0.441883
31tbedt"tub"tdishwashert0.0t0.5599998
32tbedtpumptdishwashert0.0t0.41806152
33tbedt"gasket"tdishwashert0.0t0.3238728
34tbedt"water hose"tdishwashert0.0t0.48281148
35tbedt"heating element"tdishwashert0.0t0.38538072
36tbedtracktdishwashert0.0t0.3794559
37tbedt"cutlery basket"tdishwashert0.0t0.5005071
38tbedt"wash tower"tdishwashert0.0t0.55335385
39tbedt"motor"tdishwashert0.0t0.3303748
40tbedt"detergent dispenser"tdishwashert0.0t0.33214527
41tbedtslidetdishwashert0.0t0.38629535
42tbedt"leveling foot"tdishwashert0.0t0.47376367
43tbedt"insulating material"tdishwashert0.0t0.41136217
44tbedtspray armtdishwashert0.0t0.4746058
45tbedtrinse-aid dispensertdishwashert0.0t0.3443658
46tbedtlocktdoort0.0t0.38404688
47tbedtcornicetdoort0.0t0.27961683
48tbedt"hanging stile"tdoort0.0t0.43370363
49tbedt"entablature"tdoort0.0t0.2404508
50tbedt"top rail"tdoort0.0t0.50383765
51tbedtmiddle paneltdoort0.0t0.44855353
52tbedt"bottom rail"tdoort0.0t0.49932832
