troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.5018421185446392
1tbedt"bolster"tbedt1.0t0.14570352187740887
2tbedt"mattress cover"tbedt1.0t0.48160149168875493
3tbedtlegtbedt1.0t0.23730630102460554
4tbedtbox springtbedt1.0t0.22112553841652483
5tbedtheadboardtbedt1.0t0.42038601559881034
6tbedt"mattress"tbedt1.0t0.5535715557682676
7tbedt"pillow protector"tbedt1.0t0.3617554576491372
8tbedt"elastic"tbedt1.0t0.1480352918045583
9tbedt"footboard"tbedt1.0t0.3324358599872166
10tbedt"switch"t"refrigerator"t0.0t0.17650986282624673
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.24739762301070994
12tbedt"egg tray"t"refrigerator"t0.0t0.22045039603430944
13tbedtshelf channelt"refrigerator"t0.0t0.18631412689113205
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.1303363990796369
15tbedt"storage door"t"refrigerator"t0.0t0.31355211751355255
16tbedtfreezer doort"refrigerator"t0.0t0.28639711888300534
17tbedtguard railt"refrigerator"t0.0t0.16947119520476087
18tbedtcrispert"refrigerator"t0.0t0.09743169118616014
19tbedtglass covert"refrigerator"t0.0t0.2153268621058988
20tbedt"butter compartment"t"refrigerator"t0.0t0.19701197175412152
21tbedt"thermostat control"t"refrigerator"t0.0t0.22438045840196566
22tbedt"freezer compartment"t"refrigerator"t0.0t0.2033893578363047
23tbedt"ice cube tray"t"refrigerator"t0.0t0.18124175930856484
24tbedt"meat keeper"t"refrigerator"t0.0t0.1573841202895159
25tbedt"door stop"t"refrigerator"t0.0t0.28661578834981405
26tbedtshelft"refrigerator"t0.0t0.2323274482196015
27tbedt"dairy compartment"t"refrigerator"t0.0t0.17706758134522252
28tbedtdoor shelft"refrigerator"t0.0t0.31602661595646714
29tbedtdrain hosetdishwashert0.0t0.21266910481407836
30tbedt"overflow protection switch"tdishwashert0.0t0.18523205633499046
31tbedt"tub"tdishwashert0.0t0.40865697121087824
32tbedtpumptdishwashert0.0t0.18462081418398693
33tbedt"gasket"tdishwashert0.0t0.15340984295310495
34tbedt"water hose"tdishwashert0.0t0.24989835343084565
35tbedt"heating element"tdishwashert0.0t0.22295428831210137
36tbedtracktdishwashert0.0t0.16007303924104863
37tbedt"cutlery basket"tdishwashert0.0t0.20235679229037903
38tbedt"wash tower"tdishwashert0.0t0.23677213770195785
39tbedt"motor"tdishwashert0.0t0.1500103234990052
40tbedt"detergent dispenser"tdishwashert0.0t0.1442593692493209
41tbedtslidetdishwashert0.0t0.1758257870823897
42tbedt"leveling foot"tdishwashert0.0t0.21076635062393764
43tbedt"insulating material"tdishwashert0.0t0.16812015250282475
44tbedtspray armtdishwashert0.0t0.25440266784765725
45tbedtrinse-aid dispensertdishwashert0.0t0.13038721879715554
46tbedtlocktdoort0.0t0.15486219733765594
47tbedtcornicetdoort0.0t0.1350588722163418
48tbedt"hanging stile"tdoort0.0t0.2304935519574209
49tbedt"entablature"tdoort0.0t0.07630404141350314
50tbedt"top rail"tdoort0.0t0.21472856921534644
51tbedtmiddle paneltdoort0.0t0.17825319624665648
52tbedt"bottom rail"tdoort0.0t0.23334512666452492
53tbedtpaneltdoort0.0t0.13236878774926958
54tbedtjambtdoort0.0t0.11892920006155472
