troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.5046998299981111
1tbedt"bolster"tbedt1.0t0.09926155837971132
2tbedt"mattress cover"tbedt1.0t0.3697654418382426
3tbedtlegtbedt1.0t0.20921254680607562
4tbedtbox springtbedt1.0t0.06557006917522114
5tbedtheadboardtbedt1.0t0.4261038455982844
6tbedt"mattress"tbedt1.0t0.5554199491105457
7tbedt"pillow protector"tbedt1.0t0.3389877665307392
8tbedt"elastic"tbedt1.0t0.06874010475006484
9tbedt"footboard"tbedt1.0t0.3399406660074001
10tbedt"switch"t"refrigerator"t0.0t0.11308415794443984
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.2303647818309092
12tbedt"egg tray"t"refrigerator"t0.0t0.14802297803308925
13tbedtshelf channelt"refrigerator"t0.0t0.10301026711522047
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.06291136568184091
15tbedt"storage door"t"refrigerator"t0.0t0.28445249391659905
16tbedtfreezer doort"refrigerator"t0.0t0.26037133745930513
17tbedtguard railt"refrigerator"t0.0t0.05949221658018422
18tbedtcrispert"refrigerator"t0.0t0.024492272136357067
19tbedtglass covert"refrigerator"t0.0t0.13836020400226667
20tbedt"butter compartment"t"refrigerator"t0.0t0.1768726319181324
21tbedt"thermostat control"t"refrigerator"t0.0t0.17529350326114737
22tbedt"freezer compartment"t"refrigerator"t0.0t0.17931379007697862
23tbedt"ice cube tray"t"refrigerator"t0.0t0.053567712259882355
24tbedt"meat keeper"t"refrigerator"t0.0t0.09098012200135557
25tbedt"door stop"t"refrigerator"t0.0t0.2149028322536917
26tbedtshelft"refrigerator"t0.0t0.1861989577661974
27tbedt"dairy compartment"t"refrigerator"t0.0t0.12063468712260067
28tbedtdoor shelft"refrigerator"t0.0t0.24824678588059865
29tbedtdrain hosetdishwashert0.0t0.17529394771053008
30tbedt"overflow protection switch"tdishwashert0.0t0.08335603728930321
31tbedt"tub"tdishwashert0.0t0.40225246947188303
32tbedtpumptdishwashert0.0t0.11901910021222456
33tbedt"gasket"tdishwashert0.0t0.10680207557861753
34tbedt"water hose"tdishwashert0.0t0.19733552595028833
35tbedt"heating element"tdishwashert0.0t0.15467727419193547
36tbedtracktdishwashert0.0t0.10067889643218257
37tbedt"cutlery basket"tdishwashert0.0t0.1139919332437027
38tbedt"wash tower"tdishwashert0.0t0.12924765830731452
39tbedt"motor"tdishwashert0.0t0.11758619540217113
40tbedt"detergent dispenser"tdishwashert0.0t0.09611973466371848
41tbedtslidetdishwashert0.0t0.12377515305725618
42tbedt"leveling foot"tdishwashert0.0t0.1776222155381977
43tbedt"insulating material"tdishwashert0.0t0.12589763507346102
44tbedtspray armtdishwashert0.0t0.1640084889832109
45tbedtrinse-aid dispensertdishwashert0.0t0.04066534072600807
46tbedtlocktdoort0.0t0.08700052222802476
47tbedtcornicetdoort0.0t0.08134223713596818
48tbedt"hanging stile"tdoort0.0t0.2596313292369915
49tbedt"entablature"tdoort0.0t-0.0042760475116390174
50tbedt"top rail"tdoort0.0t0.06280337146005789
51tbedtmiddle paneltdoort0.0t0.13315170168557428
52tbedt"bottom rail"tdoort0.0t0.12464184320290782
53tbedtpaneltdoort0.0t0.059766441849353875
54tbedtjambtdoort0.0t0.09170991807797012
55tbedtdoorknobtdoort0.0t0.17957112629819624
56tbedt"threshold"tdoort0.0t0.05367126301403349
57tbedt"weatherboard"tdoort0.0t0.17890021000233336
58tbedtlock railtdoort0.0t0.08928943654929498
59tbedt"shutting stile"tdoort0.0t0.07979023762269502
60tbedtheadertdoort0.0t0.013161479571995245
61tbedtringt"mortise lock"t0.0t0.02817009077878643
62tbedtkeywayt"mortise lock"t0.0t0.010667674085267613
63tbedt"cotter pin"t"mortise lock"t0.0t-0.028662543879659268
64tbedtspringt"mortise lock"t0.0t0.12135869524758075
65tbedt"rotor"t"mortise lock"t0.0t-0.008812986810964566
66tbedtcylinder caset"mortise lock"t0.0t0.10064422938032644
67tbedtkeyt"mortise lock"t0.0t-0.05675486544403198
68tbedt"faceplate"t"mortise lock"t0.0t0.018950877231969244
69tbedt"dead bolt"t"mortise lock"t0.0t0.06695718841320458
70tbedtcylindert"mortise lock"t0.0t0.12874987499861107
71tbedt"stator"t"mortise lock"t0.0t0.004519605773397482
72tbedt"strike plate"t"mortise lock"t0.0t0.047217863222687576
73tbedt"valve seat shaft"t"toilet"t0.0t0.18542872698585539
74tbedt"tank lid"t"toilet"t0.0t0.09469662878401745
75tbedtconical washert"toilet"t0.0t0.07798575539728218
76tbedt"lift chain"t"toilet"t0.0t0.08324670274114156
77tbedt"seat"t"toilet"t0.0t0.30997677751975017
78tbedt"shutoff valve"t"toilet"t0.0t0.0673440890836668
79tbedt"trip lever"t"toilet"t0.0t0.11150523894709942
80tbedtball-cock supply valvet"toilet"t0.0t0.07016412073068863
81tbedt"toilet bowl"t"toilet"t0.0t0.2667829642551584
82tbedtflush handlet"toilet"t0.0t0.07166568517427971
83tbedtwax sealt"toilet"t0.0t0.05024989166546294
84tbedt"tank ball"t"toilet"t0.0t0.10579673107478971
85tbedt"float ball"t"toilet"t0.0t0.07303281147568305
86tbedt"filler tube"t"toilet"t0.0t0.14558430044603923
87tbedt"waste pipe"t"toilet"t0.0t0.11905954510605674
88tbedt"seat cover"t"toilet"t0.0t0.2995899954443938
89tbedt"cold-water supply line"t"toilet"t0.0t0.07228615257639764
90tbedt"overflow tube"t"toilet"t0.0t0.06949900215546906
91tbedt"trap"t"toilet"t0.0t0.12970346997266288
92tbedt"refill tube"t"toilet"t0.0t0.05109790108778986
93t"refrigerator"tpillowtbedt0.0t0.1795604595118245
94t"refrigerator"t"bolster"tbedt0.0t0.018966437175176876
95t"refrigerator"t"mattress cover"tbedt0.0t0.16076002630696287
96t"refrigerator"tlegtbedt0.0t-0.012161692036766265
97t"refrigerator"tbox springtbedt0.0t0.10033247043466494
98t"refrigerator"theadboardtbedt0.0t0.16834744478799255
99t"refrigerator"t"mattress"tbedt0.0t0.25406729564409714
100t"refrigerator"t"pillow protector"tbedt0.0t0.16668675948474634
101t"refrigerator"t"elastic"tbedt0.0t-0.048285658348572395
102t"refrigerator"t"footboard"tbedt0.0t0.11405372438068541
103t"refrigerator"t"switch"t"refrigerator"t1.0t0.14373074005949846
104t"refrigerator"t"refrigerator compartment"t"refrigerator"t1.0t0.7540420175826463
105t"refrigerator"t"egg tray"t"refrigerator"t1.0t0.32658433166861295
106t"refrigerator"tshelf channelt"refrigerator"t1.0t0.23338753394760695
107t"refrigerator"t"magnetic gasket"t"refrigerator"t1.0t0.1788595627573165
108t"refrigerator"t"storage door"t"refrigerator"t1.0t0.33653244330853255
109t"refrigerator"tfreezer doort"refrigerator"t1.0t0.6840547877259554
110t"refrigerator"tguard railt"refrigerator"t1.0t0.09650397187790723
111t"refrigerator"tcrispert"refrigerator"t1.0t0.375150654468458
112t"refrigerator"tglass covert"refrigerator"t1.0t0.22181360035262754
113t"refrigerator"t"butter compartment"t"refrigerator"t1.0t0.38499720941313026
114t"refrigerator"t"thermostat control"t"refrigerator"t1.0t0.32754078684661
115t"refrigerator"t"freezer compartment"t"refrigerator"t1.0t0.6355245359447407
116t"refrigerator"t"ice cube tray"t"refrigerator"t1.0t0.39359046069188786
117t"refrigerator"t"meat keeper"t"refrigerator"t1.0t0.19196793208457238
118t"refrigerator"t"door stop"t"refrigerator"t1.0t0.244806969500437
119t"refrigerator"tshelft"refrigerator"t1.0t0.40020204671186
120t"refrigerator"t"dairy compartment"t"refrigerator"t1.0t0.3155157980679337
121t"refrigerator"tdoor shelft"refrigerator"t1.0t0.39596759874389686
122t"refrigerator"tdrain hosetdishwashert0.0t0.2591726862712586
123t"refrigerator"t"overflow protection switch"tdishwashert0.0t0.12680253411732811
124t"refrigerator"t"tub"tdishwashert0.0t0.45057816759943914
125t"refrigerator"tpumptdishwashert0.0t0.19056969417101352
126t"refrigerator"t"gasket"tdishwashert0.0t0.2652698658062735
127t"refrigerator"t"water hose"tdishwashert0.0t0.2882803462572209
128t"refrigerator"t"heating element"tdishwashert0.0t0.23618420606720283
129t"refrigerator"tracktdishwashert0.0t0.33256328765467463
130t"refrigerator"t"cutlery basket"tdishwashert0.0t0.3166426645454596
131t"refrigerator"t"wash tower"tdishwashert0.0t0.16311716387039557
132t"refrigerator"t"motor"tdishwashert0.0t0.1087696650817977
133t"refrigerator"t"detergent dispenser"tdishwashert0.0t0.34391297057889414
134t"refrigerator"tslidetdishwashert0.0t0.15167347989127525
135t"refrigerator"t"leveling foot"tdishwashert0.0t0.018908214293095322
136t"refrigerator"t"insulating material"tdishwashert0.0t0.0765784234443546
137t"refrigerator"tspray armtdishwashert0.0t0.09735887036065687
138t"refrigerator"trinse-aid dispensertdishwashert0.0t0.39584999787220077
139t"refrigerator"tlocktdoort0.0t0.16475696005033047
140t"refrigerator"tcornicetdoort0.0t0.09746020483118815
141t"refrigerator"t"hanging stile"tdoort0.0t0.16134269951251776
142t"refrigerator"t"entablature"tdoort0.0t-0.011098568995052124
143t"refrigerator"t"top rail"tdoort0.0t0.11652487617081883
144t"refrigerator"tmiddle paneltdoort0.0t0.13623886223612147
145t"refrigerator"t"bottom rail"tdoort0.0t0.08822011093903508
146t"refrigerator"tpaneltdoort0.0t0.12359605368904772
147t"refrigerator"tjambtdoort0.0t0.08673964971603013
148t"refrigerator"tdoorknobtdoort0.0t0.2758284593892064
149t"refrigerator"t"threshold"tdoort0.0t-0.016093958387755337
150t"refrigerator"t"weatherboard"tdoort0.0t-0.013373705638252246
151t"refrigerator"tlock railtdoort0.0t0.08322493396870392
152t"refrigerator"t"shutting stile"tdoort0.0t0.11590777094449041
153t"refrigerator"theadertdoort0.0t0.0288478792928678
154t"refrigerator"tringt"mortise lock"t0.0t0.017091080688794502
