troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.9940360858043147
1tbedt"bolster"tbedt1.0t0.9727833179619022
2tbedt"mattress cover"tbedt1.0t0.9935286975056149
3tbedtlegtbedt1.0t0.8266772408029082
4tbedtbox springtbedt1.0t0.9846575123865122
5tbedtheadboardtbedt1.0t0.9810296139405578
6tbedt"mattress"tbedt1.0t0.9980326170179957
7tbedt"pillow protector"tbedt1.0t0.9764800199160769
8tbedt"elastic"tbedt1.0t0.7934956931590974
9tbedt"footboard"tbedt1.0t0.9939660848454788
10tbedt"switch"t"refrigerator"t0.0t0.9854673693259823
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.9873110373917037
12tbedt"egg tray"t"refrigerator"t0.0t0.9957571705354347
13tbedtshelf channelt"refrigerator"t0.0t0.9820582781778867
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.9795774882564556
15tbedt"storage door"t"refrigerator"t0.0t0.996629451329789
16tbedtfreezer doort"refrigerator"t0.0t0.997013420846998
17tbedtguard railt"refrigerator"t0.0t0.9647794803514191
18tbedtcrispert"refrigerator"t0.0t0.8625794092974818
19tbedtglass covert"refrigerator"t0.0t0.9934685175551592
20tbedt"butter compartment"t"refrigerator"t0.0t0.9811214603053541
21tbedt"thermostat control"t"refrigerator"t0.0t0.9741633961987729
22tbedt"freezer compartment"t"refrigerator"t0.0t0.9661697187577776
23tbedt"ice cube tray"t"refrigerator"t0.0t0.9920697790277886
24tbedt"meat keeper"t"refrigerator"t0.0t0.9768594843274102
25tbedt"door stop"t"refrigerator"t0.0t0.9861691554677076
26tbedtshelft"refrigerator"t0.0t0.9926876540982955
27tbedt"dairy compartment"t"refrigerator"t0.0t0.9753281088114146
28tbedtdoor shelft"refrigerator"t0.0t0.992222957571845
29tbedtdrain hosetdishwashert0.0t0.9877165003214449
30tbedt"overflow protection switch"tdishwashert0.0t0.9749403631438168
31tbedt"tub"tdishwashert0.0t0.9903420266035969
32tbedtpumptdishwashert0.0t0.993616523703805
33tbedt"gasket"tdishwashert0.0t0.9317642605320666
34tbedt"water hose"tdishwashert0.0t0.9925291335351276
35tbedt"heating element"tdishwashert0.0t0.9763223630057191
36tbedtracktdishwashert0.0t0.9728858822562823
37tbedt"cutlery basket"tdishwashert0.0t0.988214500424635
38tbedt"wash tower"tdishwashert0.0t0.9492390026766743
39tbedt"motor"tdishwashert0.0t0.990197778736639
40tbedt"detergent dispenser"tdishwashert0.0t0.9868924883638133
41tbedtslidetdishwashert0.0t0.9900985041768414
42tbedt"leveling foot"tdishwashert0.0t0.9399378403243485
43tbedt"insulating material"tdishwashert0.0t0.928979293778954
44tbedtspray armtdishwashert0.0t0.9943043848313436
45tbedtrinse-aid dispensertdishwashert0.0t0.9620557337934176
46tbedtlocktdoort0.0t0.9937298223956268
47tbedtcornicetdoort0.0t0.9831320163994236
48tbedt"hanging stile"tdoort0.0t0.9902680146052308
49tbedt"entablature"tdoort0.0t0.9706577665027276
50tbedt"top rail"tdoort0.0t0.978470755237092
51tbedtmiddle paneltdoort0.0t0.9518580237800188
52tbedt"bottom rail"tdoort0.0t0.9795982275288465
53tbedtpaneltdoort0.0t0.9825761213480344
54tbedtjambtdoort0.0t0.9628458632297215
55tbedtdoorknobtdoort0.0t0.9525621293296795
56tbedt"threshold"tdoort0.0t0.9619448983827713
57tbedt"weatherboard"tdoort0.0t0.9272377309735063
58tbedtlock railtdoort0.0t0.9828544105422853
59tbedt"shutting stile"tdoort0.0t0.9811656723787493
60tbedtheadertdoort0.0t0.9369372322040098
61tbedtringt"mortise lock"t0.0t0.979867116779183
62tbedtkeywayt"mortise lock"t0.0t0.9922113327521613
63tbedt"cotter pin"t"mortise lock"t0.0t0.9309112315841082
64tbedtspringt"mortise lock"t0.0t0.9805385769657876
65tbedt"rotor"t"mortise lock"t0.0t0.9890936368350584
66tbedtcylinder caset"mortise lock"t0.0t0.9680881711786449
67tbedtkeyt"mortise lock"t0.0t0.9903989940972217
68tbedt"faceplate"t"mortise lock"t0.0t0.9856181950809779
69tbedt"dead bolt"t"mortise lock"t0.0t0.9890408559866509
70tbedtcylindert"mortise lock"t0.0t0.9791028909580383
71tbedt"stator"t"mortise lock"t0.0t0.9648312861349772
72tbedt"strike plate"t"mortise lock"t0.0t0.9601586879259848
73tbedt"valve seat shaft"t"toilet"t0.0t0.9892408198037957
74tbedt"tank lid"t"toilet"t0.0t0.9719519627893887
75tbedtconical washert"toilet"t0.0t0.9818316179505532
76tbedt"lift chain"t"toilet"t0.0t0.9894161088582001
77tbedt"seat"t"toilet"t0.0t0.9207305400945871
78tbedt"shutoff valve"t"toilet"t0.0t0.9742294220855657
79tbedt"trip lever"t"toilet"t0.0t0.9788398946574973
80tbedtball-cock supply valvet"toilet"t0.0t0.9743284520675735
81tbedt"toilet bowl"t"toilet"t0.0t0.995397573473375
82tbedtflush handlet"toilet"t0.0t0.990169219422913
83tbedtwax sealt"toilet"t0.0t0.9875102878601301
84tbedt"tank ball"t"toilet"t0.0t0.9606761761180624
85tbedt"float ball"t"toilet"t0.0t0.9766748832849067
86tbedt"filler tube"t"toilet"t0.0t0.9749927825278377
87tbedt"waste pipe"t"toilet"t0.0t0.9852310389622105
88tbedt"seat cover"t"toilet"t0.0t0.9926312923361447
89tbedt"cold-water supply line"t"toilet"t0.0t0.9782453047268285
90tbedt"overflow tube"t"toilet"t0.0t0.966779512193881
91tbedt"trap"t"toilet"t0.0t0.980994556317218
92tbedt"refill tube"t"toilet"t0.0t0.9798958555662944
93t"refrigerator"tpillowtbedt0.0t0.9656192472498012
94t"refrigerator"t"bolster"tbedt0.0t0.9056486830563227
95t"refrigerator"t"mattress cover"tbedt0.0t0.9727972562483597
