troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.81621987
1tbedt"bolster"tbedt1.0t0.7331758
2tbedt"mattress cover"tbedt1.0t0.8005073
3tbedtlegtbedt1.0t0.77929825
4tbedtbox springtbedt1.0t0.76786685
5tbedtheadboardtbedt1.0t0.6388724
6tbedt"mattress"tbedt1.0t0.82618225
7tbedt"pillow protector"tbedt1.0t0.7649048
8tbedt"elastic"tbedt1.0t0.6269784
9tbedt"footboard"tbedt1.0t0.70177215
10tbedt"switch"t"refrigerator"t0.0t0.73846865
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.673653
12tbedt"egg tray"t"refrigerator"t0.0t0.70893806
13tbedtshelf channelt"refrigerator"t0.0t0.7443507
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.68147045
15tbedt"storage door"t"refrigerator"t0.0t0.731827
16tbedtfreezer doort"refrigerator"t0.0t0.6133187
17tbedtguard railt"refrigerator"t0.0t0.6799427
18tbedtcrispert"refrigerator"t0.0t0.69458336
19tbedtglass covert"refrigerator"t0.0t0.717344
20tbedt"butter compartment"t"refrigerator"t0.0t0.7211546
21tbedt"thermostat control"t"refrigerator"t0.0t0.57283044
22tbedt"freezer compartment"t"refrigerator"t0.0t0.64182866
23tbedt"ice cube tray"t"refrigerator"t0.0t0.647558
24tbedt"meat keeper"t"refrigerator"t0.0t0.731322
25tbedt"door stop"t"refrigerator"t0.0t0.72001237
26tbedtshelft"refrigerator"t0.0t0.7735364
27tbedt"dairy compartment"t"refrigerator"t0.0t0.7296828
28tbedtdoor shelft"refrigerator"t0.0t0.7449286
29tbedtdrain hosetdishwashert0.0t0.68253285
30tbedt"overflow protection switch"tdishwashert0.0t0.6575503
31tbedt"tub"tdishwashert0.0t0.8021007
32tbedtpumptdishwashert0.0t0.76171637
33tbedt"gasket"tdishwashert0.0t0.68730175
34tbedt"water hose"tdishwashert0.0t0.6232438
35tbedt"heating element"tdishwashert0.0t0.6591031
36tbedtracktdishwashert0.0t0.787462
37tbedt"cutlery basket"tdishwashert0.0t0.63309556
38tbedt"wash tower"tdishwashert0.0t0.74369204
39tbedt"motor"tdishwashert0.0t0.7496195
40tbedt"detergent dispenser"tdishwashert0.0t0.51610893
41tbedtslidetdishwashert0.0t0.78246826
42tbedt"leveling foot"tdishwashert0.0t0.67560154
43tbedt"insulating material"tdishwashert0.0t0.5117774
44tbedtspray armtdishwashert0.0t0.7314586
45tbedtrinse-aid dispensertdishwashert0.0t0.55535656
46tbedtlocktdoort0.0t0.73418516
47tbedtcornicetdoort0.0t0.7385298
48tbedt"hanging stile"tdoort0.0t0.6922416
49tbedt"entablature"tdoort0.0t0.51511943
50tbedt"top rail"tdoort0.0t0.75798553
51tbedtmiddle paneltdoort0.0t0.73257744
52tbedt"bottom rail"tdoort0.0t0.7599009
53tbedtpaneltdoort0.0t0.7820816
54tbedtjambtdoort0.0t0.71248436
55tbedtdoorknobtdoort0.0t0.48170492
56tbedt"threshold"tdoort0.0t0.7569156
57tbedt"weatherboard"tdoort0.0t0.6281183
58tbedtlock railtdoort0.0t0.7284723
59tbedt"shutting stile"tdoort0.0t0.72510505
60tbedtheadertdoort0.0t0.7185738
61tbedtringt"mortise lock"t0.0t0.7372763
62tbedtkeywayt"mortise lock"t0.0t0.7121087
63tbedt"cotter pin"t"mortise lock"t0.0t0.7350698
64tbedtspringt"mortise lock"t0.0t0.70157355
