troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.9902758
1tbedt"bolster"tbedt1.0t0.98564094
2tbedt"mattress cover"tbedt1.0t0.9905366
3tbedtlegtbedt1.0t0.98934895
4tbedtbox springtbedt1.0t0.98838055
5tbedtheadboardtbedt1.0t0.9851411
6tbedt"mattress"tbedt1.0t0.9910288
7tbedt"pillow protector"tbedt1.0t0.9873976
8tbedt"elastic"tbedt1.0t0.981754
9tbedt"footboard"tbedt1.0t0.9830145
10tbedt"switch"t"refrigerator"t0.0t0.9871874
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.9843852
12tbedt"egg tray"t"refrigerator"t0.0t0.9862821
13tbedtshelf channelt"refrigerator"t0.0t0.9875127
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.9834852
15tbedt"storage door"t"refrigerator"t0.0t0.9878979
16tbedtfreezer doort"refrigerator"t0.0t0.9876995
17tbedtguard railt"refrigerator"t0.0t0.9821829
18tbedtcrispert"refrigerator"t0.0t0.98223114
19tbedtglass covert"refrigerator"t0.0t0.98942405
20tbedt"butter compartment"t"refrigerator"t0.0t0.9861468
21tbedt"thermostat control"t"refrigerator"t0.0t0.9777635
22tbedt"freezer compartment"t"refrigerator"t0.0t0.9849818
23tbedt"ice cube tray"t"refrigerator"t0.0t0.9839544
24tbedt"meat keeper"t"refrigerator"t0.0t0.9863371
25tbedt"door stop"t"refrigerator"t0.0t0.98809135
26tbedtshelft"refrigerator"t0.0t0.9897037
27tbedt"dairy compartment"t"refrigerator"t0.0t0.98702717
28tbedtdoor shelft"refrigerator"t0.0t0.9887457
29tbedtdrain hosetdishwashert0.0t0.9843622
30tbedt"overflow protection switch"tdishwashert0.0t0.98383373
31tbedt"tub"tdishwashert0.0t0.98915607
32tbedtpumptdishwashert0.0t0.98860985
33tbedt"gasket"tdishwashert0.0t0.9804961
34tbedt"water hose"tdishwashert0.0t0.9854262
35tbedt"heating element"tdishwashert0.0t0.98352647
36tbedtracktdishwashert0.0t0.98852706
37tbedt"cutlery basket"tdishwashert0.0t0.9821224
38tbedt"wash tower"tdishwashert0.0t0.9864168
39tbedt"motor"tdishwashert0.0t0.9864788
40tbedt"detergent dispenser"tdishwashert0.0t0.9813426
41tbedtslidetdishwashert0.0t0.9858875
42tbedt"leveling foot"tdishwashert0.0t0.9868091
43tbedt"insulating material"tdishwashert0.0t0.9766461
44tbedtspray armtdishwashert0.0t0.9852337
45tbedtrinse-aid dispensertdishwashert0.0t0.98582107
46tbedtlocktdoort0.0t0.9869889
47tbedtcornicetdoort0.0t0.9853825
48tbedt"hanging stile"tdoort0.0t0.9880709
49tbedt"entablature"tdoort0.0t0.9802922
50tbedt"top rail"tdoort0.0t0.9861447
51tbedtmiddle paneltdoort0.0t0.9875052
52tbedt"bottom rail"tdoort0.0t0.98706317
53tbedtpaneltdoort0.0t0.9864171
54tbedtjambtdoort0.0t0.9819652
55tbedtdoorknobtdoort0.0t0.9782742
56tbedt"threshold"tdoort0.0t0.9848969
57tbedt"weatherboard"tdoort0.0t0.98376477
58tbedtlock railtdoort0.0t0.9873009
59tbedt"shutting stile"tdoort0.0t0.98641586
60tbedtheadertdoort0.0t0.98376983
61tbedtringt"mortise lock"t0.0t0.9906007
62tbedtkeywayt"mortise lock"t0.0t0.98324215
63tbedt"cotter pin"t"mortise lock"t0.0t0.9879014
64tbedtspringt"mortise lock"t0.0t0.9881537
65tbedt"rotor"t"mortise lock"t0.0t0.9853949
66tbedtcylinder caset"mortise lock"t0.0t0.986289
67tbedtkeyt"mortise lock"t0.0t0.98586303
68tbedt"faceplate"t"mortise lock"t0.0t0.9868088
69tbedt"dead bolt"t"mortise lock"t0.0t0.9849084
70tbedtcylindert"mortise lock"t0.0t0.98800635
71tbedt"stator"t"mortise lock"t0.0t0.9850199
72tbedt"strike plate"t"mortise lock"t0.0t0.98484993
73tbedt"valve seat shaft"t"toilet"t0.0t0.98222613
74tbedt"tank lid"t"toilet"t0.0t0.987195
75tbedtconical washert"toilet"t0.0t0.9844442
76tbedt"lift chain"t"toilet"t0.0t0.98820835
77tbedt"seat"t"toilet"t0.0t0.99102604
78tbedt"shutoff valve"t"toilet"t0.0t0.9795768
79tbedt"trip lever"t"toilet"t0.0t0.9849344
80tbedtball-cock supply valvet"toilet"t0.0t0.98640716
81tbedt"toilet bowl"t"toilet"t0.0t0.98605525
82tbedtflush handlet"toilet"t0.0t0.9864573
83tbedtwax sealt"toilet"t0.0t0.98600554
84tbedt"tank ball"t"toilet"t0.0t0.98855114
85tbedt"float ball"t"toilet"t0.0t0.9887633
86tbedt"filler tube"t"toilet"t0.0t0.98687416
87tbedt"waste pipe"t"toilet"t0.0t0.9871821
88tbedt"seat cover"t"toilet"t0.0t0.9882848
89tbedt"cold-water supply line"t"toilet"t0.0t0.9878733
90tbedt"overflow tube"t"toilet"t0.0t0.98413277
91tbedt"trap"t"toilet"t0.0t0.9876664
92tbedt"refill tube"t"toilet"t0.0t0.98547065
93t"refrigerator"tpillowtbedt0.0t0.9844529
94t"refrigerator"t"bolster"tbedt0.0t0.9846253
95t"refrigerator"t"mattress cover"tbedt0.0t0.98858684
96t"refrigerator"tlegtbedt0.0t0.98764586
97t"refrigerator"tbox springtbedt0.0t0.98636043
98t"refrigerator"theadboardtbedt0.0t0.9818569
99t"refrigerator"t"mattress"tbedt0.0t0.9902401
100t"refrigerator"t"pillow protector"tbedt0.0t0.9831743
101t"refrigerator"t"elastic"tbedt0.0t0.98197526
102t"refrigerator"t"footboard"tbedt0.0t0.9808925
103t"refrigerator"t"switch"t"refrigerator"t1.0t0.9853344
104t"refrigerator"t"refrigerator compartment"t"refrigerator"t1.0t0.99151164
105t"refrigerator"t"egg tray"t"refrigerator"t1.0t0.9820281
106t"refrigerator"tshelf channelt"refrigerator"t1.0t0.9864112
107t"refrigerator"t"magnetic gasket"t"refrigerator"t1.0t0.986481
108t"refrigerator"t"storage door"t"refrigerator"t1.0t0.9869062
109t"refrigerator"tfreezer doort"refrigerator"t1.0t0.9887723
110t"refrigerator"tguard railt"refrigerator"t1.0t0.9830314
111t"refrigerator"tcrispert"refrigerator"t1.0t0.9834976
112t"refrigerator"tglass covert"refrigerator"t1.0t0.98842496
113t"refrigerator"t"butter compartment"t"refrigerator"t1.0t0.9875393
114t"refrigerator"t"thermostat control"t"refrigerator"t1.0t0.9778027
115t"refrigerator"t"freezer compartment"t"refrigerator"t1.0t0.98838955
116t"refrigerator"t"ice cube tray"t"refrigerator"t1.0t0.98193085
117t"refrigerator"t"meat keeper"t"refrigerator"t1.0t0.9855728
118t"refrigerator"t"door stop"t"refrigerator"t1.0t0.986202
119t"refrigerator"tshelft"refrigerator"t1.0t0.98704934
120t"refrigerator"t"dairy compartment"t"refrigerator"t1.0t0.987818
121t"refrigerator"tdoor shelft"refrigerator"t1.0t0.986148
122t"refrigerator"tdrain hosetdishwashert0.0t0.98405117
123t"refrigerator"t"overflow protection switch"tdishwashert0.0t0.98194516
124t"refrigerator"t"tub"tdishwashert0.0t0.9865122
125t"refrigerator"tpumptdishwashert0.0t0.98770374
126t"refrigerator"t"gasket"tdishwashert0.0t0.98404026
