troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.47245565
1tbedt"bolster"tbedt1.0t0.088709906
2tbedt"mattress cover"tbedt1.0t0.3498975
3tbedtlegtbedt1.0t0.12120188
4tbedtbox springtbedt1.0t0.11238613
5tbedtheadboardtbedt1.0t0.3416869
6tbedt"mattress"tbedt1.0t0.5238949
7tbedt"pillow protector"tbedt1.0t0.34518152
8tbedt"elastic"tbedt1.0t0.04232258
9tbedt"footboard"tbedt1.0t0.21625952
10tbedt"switch"t"refrigerator"t0.0t0.15114334
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.20956272
12tbedt"egg tray"t"refrigerator"t0.0t0.20076816
13tbedtshelf channelt"refrigerator"t0.0t0.19935356
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.089705065
15tbedt"storage door"t"refrigerator"t0.0t0.18123576
16tbedtfreezer doort"refrigerator"t0.0t0.18075493
17tbedtguard railt"refrigerator"t0.0t0.17140941
18tbedtcrispert"refrigerator"t0.0t0.03288541
19tbedtglass covert"refrigerator"t0.0t0.13209027
20tbedt"butter compartment"t"refrigerator"t0.0t0.18099308
21tbedt"thermostat control"t"refrigerator"t0.0t0.077796824
22tbedt"freezer compartment"t"refrigerator"t0.0t0.1604622
23tbedt"ice cube tray"t"refrigerator"t0.0t0.14712156
24tbedt"meat keeper"t"refrigerator"t0.0t0.09865423
25tbedt"door stop"t"refrigerator"t0.0t0.13065283
26tbedtshelft"refrigerator"t0.0t0.18919799
27tbedt"dairy compartment"t"refrigerator"t0.0t0.16687368
28tbedtdoor shelft"refrigerator"t0.0t0.21505393
29tbedtdrain hosetdishwashert0.0t0.15329927
30tbedt"overflow protection switch"tdishwashert0.0t0.14618838
31tbedt"tub"tdishwashert0.0t0.36993125
32tbedtpumptdishwashert0.0t0.031679828
33tbedt"gasket"tdishwashert0.0t0.09588631
34tbedt"water hose"tdishwashert0.0t0.12769942
35tbedt"heating element"tdishwashert0.0t0.07519189
36tbedtracktdishwashert0.0t0.1463378
37tbedt"cutlery basket"tdishwashert0.0t0.19407354
38tbedt"wash tower"tdishwashert0.0t0.18880385
39tbedt"motor"tdishwashert0.0t0.087276906
40tbedt"detergent dispenser"tdishwashert0.0t0.12597735
41tbedtslidetdishwashert0.0t0.122952595
42tbedt"leveling foot"tdishwashert0.0t0.14199804
43tbedt"insulating material"tdishwashert0.0t0.11456194
44tbedtspray armtdishwashert0.0t0.10103701
45tbedtrinse-aid dispensertdishwashert0.0t0.06306055
46tbedtlocktdoort0.0t0.14167286
47tbedtcornicetdoort0.0t0.1351689
48tbedt"hanging stile"tdoort0.0t0.17956339
49tbedt"entablature"tdoort0.0t0.08949402
50tbedt"top rail"tdoort0.0t0.16012913
51tbedtmiddle paneltdoort0.0t0.15061529
52tbedt"bottom rail"tdoort0.0t0.21593523
53tbedtpaneltdoort0.0t0.14008929
54tbedtjambtdoort0.0t0.11508719
55tbedtdoorknobtdoort0.0t0.16021807
56tbedt"threshold"tdoort0.0t0.04689099
57tbedt"weatherboard"tdoort0.0t0.14410149
58tbedtlock railtdoort0.0t0.21300367
59tbedt"shutting stile"tdoort0.0t0.07574604
60tbedtheadertdoort0.0t0.054876674
61tbedtringt"mortise lock"t0.0t0.11555106
62tbedtkeywayt"mortise lock"t0.0t0.076261856
63tbedt"cotter pin"t"mortise lock"t0.0t0.141924
64tbedtspringt"mortise lock"t0.0t0.06997328
65tbedt"rotor"t"mortise lock"t0.0t0.12698264
66tbedtcylinder caset"mortise lock"t0.0t0.13625802
67tbedtkeyt"mortise lock"t0.0t0.0723587
68tbedt"faceplate"t"mortise lock"t0.0t0.053856462
