troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t2.9115182825232933
1tbedt"bolster"tbedt1.0t2.731371833667616
2tbedt"mattress cover"tbedt1.0t2.6899791263679917
3tbedtlegtbedt1.0t0.4175456144656652
4tbedtbox springtbedt1.0t0.31151669599341614
5tbedtheadboardtbedt1.0t1.2117867923786643
6tbedt"mattress"tbedt1.0t2.6899791263679917
7tbedt"pillow protector"tbedt1.0t2.9115182825232933
8tbedt"elastic"tbedt1.0t0.766372502843421
9tbedt"footboard"tbedt1.0t1.5235101687419095
10tbedt"switch"t"refrigerator"t0.0t1.0842290362269258
11tbedt"refrigerator compartment"t"refrigerator"t0.0t-0.2984660667743568
12tbedt"egg tray"t"refrigerator"t0.0t-1.5472068147980793
13tbedtshelf channelt"refrigerator"t0.0t0.8683938914065374
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.1656506852974161
15tbedt"storage door"t"refrigerator"t0.0t0.5978909119018682
16tbedtfreezer doort"refrigerator"t0.0t-0.6074343673503207
17tbedtguard railt"refrigerator"t0.0t-0.6288571586092413
18tbedtcrispert"refrigerator"t0.0t-0.8188162528586915
19tbedtglass covert"refrigerator"t0.0t-0.6443224352478994
20tbedt"butter compartment"t"refrigerator"t0.0t-0.6662804133898059
21tbedt"thermostat control"t"refrigerator"t0.0t-0.10710872382579416
22tbedt"freezer compartment"t"refrigerator"t0.0t-0.6074343673503207
23tbedt"ice cube tray"t"refrigerator"t0.0t-1.365204832950491
24tbedt"meat keeper"t"refrigerator"t0.0t-1.3892651200006227
25tbedt"door stop"t"refrigerator"t0.0t0.13251173929356522
26tbedtshelft"refrigerator"t0.0t0.8683938914065374
27tbedt"dairy compartment"t"refrigerator"t0.0t-1.9000876760126382
28tbedtdoor shelft"refrigerator"t0.0t0.13251173929356522
29tbedtdrain hosetdishwashert0.0t0.023682986716953045
30tbedt"overflow protection switch"tdishwashert0.0t-0.7787754340681728
31tbedt"tub"tdishwashert0.0t1.117167593966747
32tbedtpumptdishwashert0.0t0.24150119702758682
33tbedt"gasket"tdishwashert0.0t-1.9965491217048568
34tbedt"water hose"tdishwashert0.0t-0.5671996250846838
35tbedt"heating element"tdishwashert0.0t0.8231626051863871
36tbedtracktdishwashert0.0t1.443426895393467
37tbedt"cutlery basket"tdishwashert0.0t-1.990777179744738
38tbedt"wash tower"tdishwashert0.0t-0.33334127190410157
39tbedt"motor"tdishwashert0.0t-0.939077902135275
40tbedt"detergent dispenser"tdishwashert0.0t0.008300493633175985
41tbedtslidetdishwashert0.0t0.02890655766952062
42tbedt"leveling foot"tdishwashert0.0t0.49127382629953703
43tbedt"insulating material"tdishwashert0.0t-0.8533452252277433
44tbedtspray armtdishwashert0.0t-1.0290649834725891
45tbedtrinse-aid dispensertdishwashert0.0t-1.8840690322722184
46tbedtlocktdoort0.0t-1.2865811272465861
47tbedtcornicetdoort0.0t-1.8090883235618376
48tbedt"hanging stile"tdoort0.0t-0.20192341722441873
49tbedt"entablature"tdoort0.0t-1.2127965464868644
50tbedt"top rail"tdoort0.0t0.6749855086731373
51tbedtmiddle paneltdoort0.0t-0.40928617264978084
52tbedt"bottom rail"tdoort0.0t0.2296209510788622
53tbedtpaneltdoort0.0t0.36721003209330316
54tbedtjambtdoort0.0t-0.677507830869821
55tbedtdoorknobtdoort0.0t-0.8348018040938611
