troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.6544300689127649
1tbedt"bolster"tbedt1.0t0.21949002671708087
2tbedt"mattress cover"tbedt1.0t0.5575484231833083
3tbedtlegtbedt1.0t0.29588716281458133
4tbedtbox springtbedt1.0t0.332240318759937
5tbedtheadboardtbedt1.0t0.6387102501897807
6tbedt"mattress"tbedt1.0t0.6863621560382559
7tbedt"pillow protector"tbedt1.0t0.5740650698288006
8tbedt"elastic"tbedt1.0t0.19537088200428548
9tbedt"footboard"tbedt1.0t0.551361883053544
10tbedt"switch"t"refrigerator"t0.0t0.22952440646579134
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.3694583535882649
12tbedt"egg tray"t"refrigerator"t0.0t0.37319919821167924
13tbedtshelf channelt"refrigerator"t0.0t0.35504396337866545
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.22637235163144453
15tbedt"storage door"t"refrigerator"t0.0t0.40981137853334765
16tbedtfreezer doort"refrigerator"t0.0t0.4024994777709738
17tbedtguard railt"refrigerator"t0.0t0.36255438961422704
18tbedtcrispert"refrigerator"t0.0t0.17890873510591038
19tbedtglass covert"refrigerator"t0.0t0.3435527681598225
20tbedt"butter compartment"t"refrigerator"t0.0t0.26022758081229147
21tbedt"thermostat control"t"refrigerator"t0.0t0.28677630081850053
22tbedt"freezer compartment"t"refrigerator"t0.0t0.34069076967078377
23tbedt"ice cube tray"t"refrigerator"t0.0t0.35383071774304303
24tbedt"meat keeper"t"refrigerator"t0.0t0.2329158909161344
25tbedt"door stop"t"refrigerator"t0.0t0.31590283779409367
26tbedtshelft"refrigerator"t0.0t0.377398187151796
27tbedt"dairy compartment"t"refrigerator"t0.0t0.23273910318813448
28tbedtdoor shelft"refrigerator"t0.0t0.4352101988906252
29tbedtdrain hosetdishwashert0.0t0.315139576274639
30tbedt"overflow protection switch"tdishwashert0.0t0.2582764436860179
31tbedt"tub"tdishwashert0.0t0.4596779820868564
32tbedtpumptdishwashert0.0t0.29660284359358735
33tbedt"gasket"tdishwashert0.0t0.22252302923697417
34tbedt"water hose"tdishwashert0.0t0.3469126005347632
35tbedt"heating element"tdishwashert0.0t0.22807241523604116
36tbedtracktdishwashert0.0t0.26640450744088856
37tbedt"cutlery basket"tdishwashert0.0t0.3652412737459133
38tbedt"wash tower"tdishwashert0.0t0.4171971924946934
39tbedt"motor"tdishwashert0.0t0.23031766014398555
40tbedt"detergent dispenser"tdishwashert0.0t0.16823498457091515
41tbedtslidetdishwashert0.0t0.2959499778448109
42tbedt"leveling foot"tdishwashert0.0t0.3554048966897229
43tbedt"insulating material"tdishwashert0.0t0.27164524747791585
44tbedtspray armtdishwashert0.0t0.32149650884246717
45tbedtrinse-aid dispensertdishwashert0.0t0.18630865732945673
46tbedtlocktdoort0.0t0.2934524017861156
47tbedtcornicetdoort0.0t0.22302897452641404
48tbedt"hanging stile"tdoort0.0t0.2874761510629978
49tbedt"entablature"tdoort0.0t0.15232209645865558
50tbedt"top rail"tdoort0.0t0.34369209992904864
51tbedtmiddle paneltdoort0.0t0.3171766680811794
52tbedt"bottom rail"tdoort0.0t0.3581338397110269
53tbedtpaneltdoort0.0t0.23073843543897896
54tbedtjambtdoort0.0t0.22363738971102726
55tbedtdoorknobtdoort0.0t0.33344100165112006
56tbedt"threshold"tdoort0.0t0.23360213426003018
57tbedt"weatherboard"tdoort0.0t0.2945232283511225
58tbedtlock railtdoort0.0t0.3679934327999486
59tbedt"shutting stile"tdoort0.0t0.26197787926568994
60tbedtheadertdoort0.0t0.213695736330414
61tbedtringt"mortise lock"t0.0t0.19412951389955638
62tbedtkeywayt"mortise lock"t0.0t0.20083885637484625
63tbedt"cotter pin"t"mortise lock"t0.0t0.3075293995555479
64tbedtspringt"mortise lock"t0.0t0.24323719509695085
65tbedt"rotor"t"mortise lock"t0.0t0.1666618888220032
66tbedtcylinder caset"mortise lock"t0.0t0.2694993198797294
67tbedtkeyt"mortise lock"t0.0t0.13167219730522164
68tbedt"faceplate"t"mortise lock"t0.0t0.20673077136773838
69tbedt"dead bolt"t"mortise lock"t0.0t0.38566429615343173
70tbedtcylindert"mortise lock"t0.0t0.2791154709800867
71tbedt"stator"t"mortise lock"t0.0t0.13740645549980426
72tbedt"strike plate"t"mortise lock"t0.0t0.2713676277317867
73tbedt"valve seat shaft"t"toilet"t0.0t0.36604150654899187
