troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.6315528585417448
1tbedt"bolster"tbedt1.0t0.24152104929792034
2tbedt"mattress cover"tbedt1.0t0.4982033685134178
3tbedtlegtbedt1.0t0.3222156511935119
4tbedtbox springtbedt1.0t0.3223701296900551
5tbedtheadboardtbedt1.0t0.6066857405207946
6tbedt"mattress"tbedt1.0t0.6584430590231368
7tbedt"pillow protector"tbedt1.0t0.5118298159365738
8tbedt"elastic"tbedt1.0t0.21821483116473706
9tbedt"footboard"tbedt1.0t0.5238816559242877
10tbedt"switch"t"refrigerator"t0.0t0.25550053092480096
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.36940299894276113
12tbedt"egg tray"t"refrigerator"t0.0t0.38340112322697845
13tbedtshelf channelt"refrigerator"t0.0t0.3518923885994906
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.2320328291511611
15tbedt"storage door"t"refrigerator"t0.0t0.357204305323138
16tbedtfreezer doort"refrigerator"t0.0t0.3855401959143302
17tbedtguard railt"refrigerator"t0.0t0.3254156567325389
18tbedtcrispert"refrigerator"t0.0t0.19671201668466293
19tbedtglass covert"refrigerator"t0.0t0.3535299452707468
20tbedt"butter compartment"t"refrigerator"t0.0t0.28210999448514806
21tbedt"thermostat control"t"refrigerator"t0.0t0.2852058330897646
22tbedt"freezer compartment"t"refrigerator"t0.0t0.3226326565466021
23tbedt"ice cube tray"t"refrigerator"t0.0t0.3351815716010762
24tbedt"meat keeper"t"refrigerator"t0.0t0.27531644643636366
25tbedt"door stop"t"refrigerator"t0.0t0.2909185719750243
26tbedtshelft"refrigerator"t0.0t0.37309587700637137
27tbedt"dairy compartment"t"refrigerator"t0.0t0.27498095479273055
28tbedtdoor shelft"refrigerator"t0.0t0.3945139695098087
29tbedtdrain hosetdishwashert0.0t0.32807690170566006
30tbedt"overflow protection switch"tdishwashert0.0t0.2342554161876508
31tbedt"tub"tdishwashert0.0t0.4558712896697028
32tbedtpumptdishwashert0.0t0.3183991557445988
33tbedt"gasket"tdishwashert0.0t0.2585311812643103
34tbedt"water hose"tdishwashert0.0t0.3502271073024606
35tbedt"heating element"tdishwashert0.0t0.25344435675152455
36tbedtracktdishwashert0.0t0.29106721249790785
37tbedt"cutlery basket"tdishwashert0.0t0.3544800357059391
38tbedt"wash tower"tdishwashert0.0t0.3844732244667177
39tbedt"motor"tdishwashert0.0t0.2436040175811934
40tbedt"detergent dispenser"tdishwashert0.0t0.21715894469294444
41tbedtslidetdishwashert0.0t0.296916076161277
42tbedt"leveling foot"tdishwashert0.0t0.3284118612223342
43tbedt"insulating material"tdishwashert0.0t0.27724775957929304
44tbedtspray armtdishwashert0.0t0.3222607000633139
45tbedtrinse-aid dispensertdishwashert0.0t0.26335531700375725
46tbedtlocktdoort0.0t0.30826761487200327
47tbedtcornicetdoort0.0t0.2438655957626016
48tbedt"hanging stile"tdoort0.0t0.28821961220828934
49tbedt"entablature"tdoort0.0t0.20600775909731045
50tbedt"top rail"tdoort0.0t0.3250654537734534
51tbedtmiddle paneltdoort0.0t0.307350984234117
52tbedt"bottom rail"tdoort0.0t0.3272092915953877
53tbedtpaneltdoort0.0t0.24428287249321665
54tbedtjambtdoort0.0t0.23908193313637677
55tbedtdoorknobtdoort0.0t0.33316893929088853
56tbedt"threshold"tdoort0.0t0.25340019685604653
57tbedt"weatherboard"tdoort0.0t0.31778614384671605
58tbedtlock railtdoort0.0t0.3178746780968724
59tbedt"shutting stile"tdoort0.0t0.2867152229354077
60tbedtheadertdoort0.0t0.23225709206568906
61tbedtringt"mortise lock"t0.0t0.2303972311530649
62tbedtkeywayt"mortise lock"t0.0t0.21378700654725882
63tbedt"cotter pin"t"mortise lock"t0.0t0.3282651524837225
64tbedtspringt"mortise lock"t0.0t0.2679768353140025
65tbedt"rotor"t"mortise lock"t0.0t0.2029562748464888
66tbedtcylinder caset"mortise lock"t0.0t0.3010488665788046
67tbedtkeyt"mortise lock"t0.0t0.19357038067483587
68tbedt"faceplate"t"mortise lock"t0.0t0.24499755529872605
69tbedt"dead bolt"t"mortise lock"t0.0t0.37257768343862585
70tbedtcylindert"mortise lock"t0.0t0.2988866138109416
71tbedt"stator"t"mortise lock"t0.0t0.15405075912422772
72tbedt"strike plate"t"mortise lock"t0.0t0.3126960991242814
73tbedt"valve seat shaft"t"toilet"t0.0t0.35481004707361463
74tbedt"tank lid"t"toilet"t0.0t0.2919669504408876
75tbedtconical washert"toilet"t0.0t0.26878023242769067
76tbedt"lift chain"t"toilet"t0.0t0.28790536040207987
77tbedt"seat"t"toilet"t0.0t0.37116086632745526
78tbedt"shutoff valve"t"toilet"t0.0t0.23101330661202382
79tbedt"trip lever"t"toilet"t0.0t0.293527398586313
80tbedtball-cock supply valvet"toilet"t0.0t0.23130017020546453
81tbedt"toilet bowl"t"toilet"t0.0t0.4017815367906002
82tbedtflush handlet"toilet"t0.0t0.287011001476667
83tbedtwax sealt"toilet"t0.0t0.23733498673862785
84tbedt"tank ball"t"toilet"t0.0t0.34205881599603744
85tbedt"float ball"t"toilet"t0.0t0.3377986786982241
86tbedt"filler tube"t"toilet"t0.0t0.31200952709676294
87tbedt"waste pipe"t"toilet"t0.0t0.28919802617230783
88tbedt"seat cover"t"toilet"t0.0t0.38081443388793457
89tbedt"cold-water supply line"t"toilet"t0.0t0.2867272491305309
90tbedt"overflow tube"t"toilet"t0.0t0.34281456648305464
91tbedt"trap"t"toilet"t0.0t0.32375483801155686
92tbedt"refill tube"t"toilet"t0.0t0.29845245749213095
93t"refrigerator"tpillowtbedt0.0t0.33899720364672004
94t"refrigerator"t"bolster"tbedt0.0t0.1942298824631131
95t"refrigerator"t"mattress cover"tbedt0.0t0.355379055268167
96t"refrigerator"tlegtbedt0.0t0.25424264288063614
97t"refrigerator"tbox springtbedt0.0t0.33492626398264636
98t"refrigerator"theadboardtbedt0.0t0.32936268916742123
99t"refrigerator"t"mattress"tbedt0.0t0.38214021700702283
100t"refrigerator"t"pillow protector"tbedt0.0t0.32127495267884104
101t"refrigerator"t"elastic"tbedt0.0t0.2374275229843739
102t"refrigerator"t"footboard"tbedt0.0t0.27704540215461804
103t"refrigerator"t"switch"t"refrigerator"t1.0t0.23270358571575983
104t"refrigerator"t"refrigerator compartment"t"refrigerator"t1.0t0.7918201038359485
105t"refrigerator"t"egg tray"t"refrigerator"t1.0t0.3795531577170291
106t"refrigerator"tshelf channelt"refrigerator"t1.0t0.37498740314988876
107t"refrigerator"t"magnetic gasket"t"refrigerator"t1.0t0.3792838264604474
108t"refrigerator"t"storage door"t"refrigerator"t1.0t0.48216136943965016
109t"refrigerator"tfreezer doort"refrigerator"t1.0t0.649643561852681
110t"refrigerator"tguard railt"refrigerator"t1.0t0.2763101364465935
111t"refrigerator"tcrispert"refrigerator"t1.0t0.4015370482614301
112t"refrigerator"tglass covert"refrigerator"t1.0t0.3930850530323731
113t"refrigerator"t"butter compartment"t"refrigerator"t1.0t0.45346883767903073
114t"refrigerator"t"thermostat control"t"refrigerator"t1.0t0.3990372573516974
115t"refrigerator"t"freezer compartment"t"refrigerator"t1.0t0.6732591293105569
116t"refrigerator"t"ice cube tray"t"refrigerator"t1.0t0.42672544752173797
117t"refrigerator"t"meat keeper"t"refrigerator"t1.0t0.35613108956283707
118t"refrigerator"t"door stop"t"refrigerator"t1.0t0.3115960248852626
119t"refrigerator"tshelft"refrigerator"t1.0t0.46236842743952866
120t"refrigerator"t"dairy compartment"t"refrigerator"t1.0t0.42892283596516567
121t"refrigerator"tdoor shelft"refrigerator"t1.0t0.4822794248355845
122t"refrigerator"tdrain hosetdishwashert0.0t0.3231956006578556
123t"refrigerator"t"overflow protection switch"tdishwashert0.0t0.24650116657535195
124t"refrigerator"t"tub"tdishwashert0.0t0.3999988607827569
125t"refrigerator"tpumptdishwashert0.0t0.31744991597164823
126t"refrigerator"t"gasket"tdishwashert0.0t0.3368758938643963
127t"refrigerator"t"water hose"tdishwashert0.0t0.3553311610429602
128t"refrigerator"t"heating element"tdishwashert0.0t0.2947976513731321
129t"refrigerator"tracktdishwashert0.0t0.3817733921423369
130t"refrigerator"t"cutlery basket"tdishwashert0.0t0.3371195637503363
131t"refrigerator"t"wash tower"tdishwashert0.0t0.3153196493725616
132t"refrigerator"t"motor"tdishwashert0.0t0.360731650501628
133t"refrigerator"t"detergent dispenser"tdishwashert0.0t0.3916953307601783
134t"refrigerator"tslidetdishwashert0.0t0.2637353321962456
135t"refrigerator"t"leveling foot"tdishwashert0.0t0.24926852519097084
136t"refrigerator"t"insulating material"tdishwashert0.0t0.30323567061337076
137t"refrigerator"tspray armtdishwashert0.0t0.2679380587050091
138t"refrigerator"trinse-aid dispensertdishwashert0.0t0.43295780527238265
139t"refrigerator"tlocktdoort0.0t0.30241872543243103
140t"refrigerator"tcornicetdoort0.0t0.1537871031685784
141t"refrigerator"t"hanging stile"tdoort0.0t0.23928628185212691
142t"refrigerator"t"entablature"tdoort0.0t0.16045079349175426
143t"refrigerator"t"top rail"tdoort0.0t0.2598993025202098
144t"refrigerator"tmiddle paneltdoort0.0t0.28611544941203276
145t"refrigerator"t"bottom rail"tdoort0.0t0.25202632278046716
146t"refrigerator"tpaneltdoort0.0t0.2546418260726388
147t"refrigerator"tjambtdoort0.0t0.21569942507039858
148t"refrigerator"tdoorknobtdoort0.0t0.363527921861951
149t"refrigerator"t"threshold"tdoort0.0t0.19795127153557165
150t"refrigerator"t"weatherboard"tdoort0.0t0.19325651407261707
151t"refrigerator"tlock railtdoort0.0t0.2884518570403466
152t"refrigerator"t"shutting stile"tdoort0.0t0.25423933227649026
153t"refrigerator"theadertdoort0.0t0.17864217209160116
154t"refrigerator"tringt"mortise lock"t0.0t0.237631507315817
155t"refrigerator"tkeywayt"mortise lock"t0.0t0.1878250818528097
156t"refrigerator"t"cotter pin"t"mortise lock"t0.0t0.22343925783164098
157t"refrigerator"tspringt"mortise lock"t0.0t0.23804334689839296
158t"refrigerator"t"rotor"t"mortise lock"t0.0t0.21640718059788222
159t"refrigerator"tcylinder caset"mortise lock"t0.0t0.3191385976588908
160t"refrigerator"tkeyt"mortise lock"t0.0t0.20609754878896241
161t"refrigerator"t"faceplate"t"mortise lock"t0.0t0.31103458708790893
162t"refrigerator"t"dead bolt"t"mortise lock"t0.0t0.25700060370252265
163t"refrigerator"tcylindert"mortise lock"t0.0t0.3150517438818689
164t"refrigerator"t"stator"t"mortise lock"t0.0t0.20919132562506418
165t"refrigerator"t"strike plate"t"mortise lock"t0.0t0.3071068272060143
166t"refrigerator"t"valve seat shaft"t"toilet"t0.0t0.2722020969560398
167t"refrigerator"t"tank lid"t"toilet"t0.0t0.3873223527249185
168t"refrigerator"tconical washert"toilet"t0.0t0.3361171310261444
169t"refrigerator"t"lift chain"t"toilet"t0.0t0.26854476785958104
170t"refrigerator"t"seat"t"toilet"t0.0t0.23584530953887253
171t"refrigerator"t"shutoff valve"t"toilet"t0.0t0.3432973723954735
172t"refrigerator"t"trip lever"t"toilet"t0.0t0.31847780534995057
173t"refrigerator"tball-cock supply valvet"toilet"t0.0t0.31397584493920083
174t"refrigerator"t"toilet bowl"t"toilet"t0.0t0.4224555414080666
175t"refrigerator"tflush handlet"toilet"t0.0t0.26405700507481067
176t"refrigerator"twax sealt"toilet"t0.0t0.3462617343931868
177t"refrigerator"t"tank ball"t"toilet"t0.0t0.3295522083550042
178t"refrigerator"t"float ball"t"toilet"t0.0t0.2513804648163255
179t"refrigerator"t"filler tube"t"toilet"t0.0t0.32431106736299303
180t"refrigerator"t"waste pipe"t"toilet"t0.0t0.28208473677068663
181t"refrigerator"t"seat cover"t"toilet"t0.0t0.27642788240091914
182t"refrigerator"t"cold-water supply line"t"toilet"t0.0t0.3416047645013062
183t"refrigerator"t"overflow tube"t"toilet"t0.0t0.33658412627885986
184t"refrigerator"t"trap"t"toilet"t0.0t0.282978677480509
185t"refrigerator"t"refill tube"t"toilet"t0.0t0.3440574486452282
186tdishwashertpillowtbedt0.0t0.24399842064720834
187tdishwashert"bolster"tbedt0.0t0.15219103100577935
188tdishwashert"mattress cover"tbedt0.0t0.26643324918732236
189tdishwashertlegtbedt0.0t0.2161916136148693
190tdishwashertbox springtbedt0.0t0.24780092013311603
191tdishwashertheadboardtbedt0.0t0.24198098783503963
192tdishwashert"mattress"tbedt0.0t0.29967253873970284
193tdishwashert"pillow protector"tbedt0.0t0.28609484373663335
194tdishwashert"elastic"tbedt0.0t0.20636476051958852
195tdishwashert"footboard"tbedt0.0t0.23513701980276275
196tdishwashert"switch"t"refrigerator"t0.0t0.2657193728559714
197tdishwashert"refrigerator compartment"t"refrigerator"t0.0t0.49510366911494136
198tdishwashert"egg tray"t"refrigerator"t0.0t0.33320608836942844
199tdishwashertshelf channelt"refrigerator"t0.0t0.33365312999950253
200tdishwashert"magnetic gasket"t"refrigerator"t0.0t0.37451027609353993
201tdishwashert"storage door"t"refrigerator"t0.0t0.3594148075966723
202tdishwashertfreezer doort"refrigerator"t0.0t0.4254271968293799
203tdishwashertguard railt"refrigerator"t0.0t0.26501886670627006
204tdishwashertcrispert"refrigerator"t0.0t0.2348978642939073
205tdishwashertglass covert"refrigerator"t0.0t0.3388518075006702
206tdishwashert"butter compartment"t"refrigerator"t0.0t0.3440705393455283
207tdishwashert"thermostat control"t"refrigerator"t0.0t0.2787305953736054
208tdishwashert"freezer compartment"t"refrigerator"t0.0t0.42299766470546685
209tdishwashert"ice cube tray"t"refrigerator"t0.0t0.339096098865571
210tdishwashert"meat keeper"t"refrigerator"t0.0t0.2549561320642955
211tdishwashert"door stop"t"refrigerator"t0.0t0.26888132544638377
212tdishwashertshelft"refrigerator"t0.0t0.3390629158546958
213tdishwashert"dairy compartment"t"refrigerator"t0.0t0.3378527629329556
214tdishwashertdoor shelft"refrigerator"t0.0t0.36235052759433634
215tdishwashertdrain hosetdishwashert1.0t0.34040484944039834
216tdishwashert"overflow protection switch"tdishwashert1.0t0.29024352757843586
217tdishwashert"tub"tdishwashert1.0t0.4379744107534478
218tdishwashertpumptdishwashert1.0t0.306663947095845
219tdishwashert"gasket"tdishwashert1.0t0.3437894462971631
220tdishwashert"water hose"tdishwashert1.0t0.37754872493353336
221tdishwashert"heating element"tdishwashert1.0t0.3076820355447968
222tdishwashertracktdishwashert1.0t0.3235055120808161
223tdishwashert"cutlery basket"tdishwashert1.0t0.45498084138345063
224tdishwashert"wash tower"tdishwashert1.0t0.34297245505297946
225tdishwashert"motor"tdishwashert1.0t0.3428133427115283
226tdishwashert"detergent dispenser"tdishwashert1.0t0.5129384520762389
227tdishwashertslidetdishwashert1.0t0.24368691433346565
228tdishwashert"leveling foot"tdishwashert1.0t0.25420272537004296
229tdishwashert"insulating material"tdishwashert1.0t0.22645703222267213
230tdishwashertspray armtdishwashert1.0t0.28635431489656343
231tdishwashertrinse-aid dispensertdishwashert1.0t0.5157586509682884
232tdishwashertlocktdoort0.0t0.25991960128651453
233tdishwashertcornicetdoort0.0t0.1620060153572654
234tdishwashert"hanging stile"tdoort0.0t0.2409712591290178
235tdishwashert"entablature"tdoort0.0t0.1715949317485681
236tdishwashert"top rail"tdoort0.0t0.2576485513549985
237tdishwashertmiddle paneltdoort0.0t0.21325442140534118
238tdishwashert"bottom rail"tdoort0.0t0.26630382671886227
239tdishwashertpaneltdoort0.0t0.21012450011409592
240tdishwashertjambtdoort0.0t0.216071873394006
241tdishwashertdoorknobtdoort0.0t0.32816800712507693
242tdishwashert"threshold"tdoort0.0t0.1902701204644727
243tdishwashert"weatherboard"tdoort0.0t0.2183589718654618
244tdishwashertlock railtdoort0.0t0.2685606802965339
245tdishwashert"shutting stile"tdoort0.0t0.2755775621586587
246tdishwashertheadertdoort0.0t0.16367050937085886
247tdishwashertringt"mortise lock"t0.0t0.2477213008715277
248tdishwashertkeywayt"mortise lock"t0.0t0.18001413470154584
249tdishwashert"cotter pin"t"mortise lock"t0.0t0.20348326883323922
250tdishwashertspringt"mortise lock"t0.0t0.21679417310774263
251tdishwashert"rotor"t"mortise lock"t0.0t0.26490675755734117
252tdishwashertcylinder caset"mortise lock"t0.0t0.260167467383503
253tdishwashertkeyt"mortise lock"t0.0t0.1491063775713578
254tdishwashert"faceplate"t"mortise lock"t0.0t0.32851951433719073
255tdishwashert"dead bolt"t"mortise lock"t0.0t0.2484436095284875
256tdishwashertcylindert"mortise lock"t0.0t0.2753419329121045
257tdishwashert"stator"t"mortise lock"t0.0t0.21459791561045172
258tdishwashert"strike plate"t"mortise lock"t0.0t0.2683148142081738
259tdishwashert"valve seat shaft"t"toilet"t0.0t0.317098244625452
260tdishwashert"tank lid"t"toilet"t0.0t0.35319606687996324
261tdishwashertconical washert"toilet"t0.0t0.4438313082497282
262tdishwashert"lift chain"t"toilet"t0.0t0.2764380021876542
263tdishwashert"seat"t"toilet"t0.0t0.28718966056565187
264tdishwashert"shutoff valve"t"toilet"t0.0t0.39992397457400575
265tdishwashert"trip lever"t"toilet"t0.0t0.32334495789609474
266tdishwashertball-cock supply valvet"toilet"t0.0t0.32819083110495545
267tdishwashert"toilet bowl"t"toilet"t0.0t0.40601632059423975
268tdishwashertflush handlet"toilet"t0.0t0.32029998608178023
269tdishwashertwax sealt"toilet"t0.0t0.2862965372630362
270tdishwashert"tank ball"t"toilet"t0.0t0.2767321705186536
271tdishwashert"float ball"t"toilet"t0.0t0.2074476874912806
272tdishwashert"filler tube"t"toilet"t0.0t0.2564399155444525
273tdishwashert"waste pipe"t"toilet"t0.0t0.23740348487393237
274tdishwashert"seat cover"t"toilet"t0.0t0.28474914026177434
275tdishwashert"cold-water supply line"t"toilet"t0.0t0.302729055657176
276tdishwashert"overflow tube"t"toilet"t0.0t0.30570476918425676
277tdishwashert"trap"t"toilet"t0.0t0.24732278700957816
278tdishwashert"refill tube"t"toilet"t0.0t0.35559102775866774
279tdoortpillowtbedt0.0t0.30471162701158594
280tdoort"bolster"tbedt0.0t0.22304864992347587
281tdoort"mattress cover"tbedt0.0t0.2783859216116696
282tdoortlegtbedt0.0t0.30886215118721344
283tdoortbox springtbedt0.0t0.4184022013328855
284tdoortheadboardtbedt0.0t0.358445018938888
285tdoort"mattress"tbedt0.0t0.2804850349635084
286tdoort"pillow protector"tbedt0.0t0.2937304450701275
287tdoort"elastic"tbedt0.0t0.17900903458234493
288tdoort"footboard"tbedt0.0t0.3444508882554895
289tdoort"switch"t"refrigerator"t0.0t0.3049713161406634
290tdoort"refrigerator compartment"t"refrigerator"t0.0t0.4667236383390517
291tdoort"egg tray"t"refrigerator"t0.0t0.35462284807768163
292tdoortshelf channelt"refrigerator"t0.0t0.3400003542506456
293tdoort"magnetic gasket"t"refrigerator"t0.0t0.3071885033473576
294tdoort"storage door"t"refrigerator"t0.0t0.7264127591008571
295tdoortfreezer doort"refrigerator"t0.0t0.7733029901432358
296tdoortguard railt"refrigerator"t0.0t0.4094129069102875
297tdoortcrispert"refrigerator"t0.0t0.25615812475308997
298tdoortglass covert"refrigerator"t0.0t0.3905792068288445
