troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t0.9863410787846829
1tbedt"bolster"tbedt1.0t0.9679142751504277
2tbedt"mattress cover"tbedt1.0t0.9798165416619986
3tbedtlegtbedt1.0t0.9917424840824577
4tbedtbox springtbedt1.0t0.988665410061781
5tbedtheadboardtbedt1.0t0.9708898264329077
6tbedt"mattress"tbedt1.0t0.9945564861025498
7tbedt"pillow protector"tbedt1.0t0.9764002802499129
8tbedt"elastic"tbedt1.0t0.988255936164514
9tbedt"footboard"tbedt1.0t0.9683129395773296
10tbedt"switch"t"refrigerator"t0.0t0.9904757906826586
11tbedt"refrigerator compartment"t"refrigerator"t0.0t0.9643067158321453
12tbedt"egg tray"t"refrigerator"t0.0t0.9850546241779398
13tbedtshelf channelt"refrigerator"t0.0t0.9906377093811842
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.9740808161478307
15tbedt"storage door"t"refrigerator"t0.0t0.9803699631500552
16tbedtfreezer doort"refrigerator"t0.0t0.9836508755143318
17tbedtguard railt"refrigerator"t0.0t0.9870692216105699
18tbedtcrispert"refrigerator"t0.0t0.9729911629329068
19tbedtglass covert"refrigerator"t0.0t0.9827702977982148
20tbedt"butter compartment"t"refrigerator"t0.0t0.9902935658198294
21tbedt"thermostat control"t"refrigerator"t0.0t0.985394469015248
22tbedt"freezer compartment"t"refrigerator"t0.0t0.9743277882228873
23tbedt"ice cube tray"t"refrigerator"t0.0t0.9716423987454498
24tbedt"meat keeper"t"refrigerator"t0.0t0.9697021345667216
25tbedt"door stop"t"refrigerator"t0.0t0.9867659912678134
26tbedtshelft"refrigerator"t0.0t0.990866667439268
27tbedt"dairy compartment"t"refrigerator"t0.0t0.9765436018529797
28tbedtdoor shelft"refrigerator"t0.0t0.9596450607380824
29tbedtdrain hosetdishwashert0.0t0.9845104261567043
30tbedt"overflow protection switch"tdishwashert0.0t0.9858012748750358
31tbedt"tub"tdishwashert0.0t0.9896797102611994
32tbedtpumptdishwashert0.0t0.9947875269614884
33tbedt"gasket"tdishwashert0.0t0.981738380262795
34tbedt"water hose"tdishwashert0.0t0.9724555394195646
35tbedt"heating element"tdishwashert0.0t0.9619947715589119
36tbedtracktdishwashert0.0t0.9963329262375162
37tbedt"cutlery basket"tdishwashert0.0t0.9734638961845343
38tbedt"wash tower"tdishwashert0.0t0.9668937405170844
39tbedt"motor"tdishwashert0.0t0.9845670927081048
40tbedt"detergent dispenser"tdishwashert0.0t0.9802549453229866
41tbedtslidetdishwashert0.0t0.9754278829792572
42tbedt"leveling foot"tdishwashert0.0t0.9745738214720109
43tbedt"insulating material"tdishwashert0.0t0.9878464118026641
44tbedtspray armtdishwashert0.0t0.9912304988297017
45tbedtrinse-aid dispensertdishwashert0.0t0.9628352527811903
46tbedtlocktdoort0.0t0.9865768453171139
47tbedtcornicetdoort0.0t0.9611270583302488
48tbedt"hanging stile"tdoort0.0t0.9544311644598767
49tbedt"entablature"tdoort0.0t0.9648543259325572
50tbedt"top rail"tdoort0.0t0.9751672246704001
51tbedtmiddle paneltdoort0.0t0.9777936969725726
52tbedt"bottom rail"tdoort0.0t0.9809125475897884
53tbedtpaneltdoort0.0t0.9872731703826686
54tbedtjambtdoort0.0t0.973439263098749
55tbedtdoorknobtdoort0.0t0.9703330330941027
56tbedt"threshold"tdoort0.0t0.9823830917545675
57tbedt"weatherboard"tdoort0.0t0.9518194527435471
58tbedtlock railtdoort0.0t0.9872240284168279
59tbedt"shutting stile"tdoort0.0t0.9715436906364415
60tbedtheadertdoort0.0t0.9876757121495542
61tbedtringt"mortise lock"t0.0t0.9907645932920378
62tbedtkeywayt"mortise lock"t0.0t0.9738353399247442
63tbedt"cotter pin"t"mortise lock"t0.0t0.9760207288468137
64tbedtspringt"mortise lock"t0.0t0.9728761515426392
65tbedt"rotor"t"mortise lock"t0.0t0.9788335042035944
66tbedtcylinder caset"mortise lock"t0.0t0.9899736910371428
67tbedtkeyt"mortise lock"t0.0t0.9767079933302139
68tbedt"faceplate"t"mortise lock"t0.0t0.9878974002615555
69tbedt"dead bolt"t"mortise lock"t0.0t0.9778889006322152
70tbedtcylindert"mortise lock"t0.0t0.977147101659529
71tbedt"stator"t"mortise lock"t0.0t0.9856697805628267
72tbedt"strike plate"t"mortise lock"t0.0t0.9762104784555468
73tbedt"valve seat shaft"t"toilet"t0.0t0.9746945902674655
74tbedt"tank lid"t"toilet"t0.0t0.9889160763462518
75tbedtconical washert"toilet"t0.0t0.9481605128221395
76tbedt"lift chain"t"toilet"t0.0t0.9559045438918639
77tbedt"seat"t"toilet"t0.0t0.9923950078744767
78tbedt"shutoff valve"t"toilet"t0.0t0.9576137175355344
79tbedt"trip lever"t"toilet"t0.0t0.9802698785409196
80tbedtball-cock supply valvet"toilet"t0.0t0.9751246177023265
81tbedt"toilet bowl"t"toilet"t0.0t0.9859836786832257
82tbedtflush handlet"toilet"t0.0t0.9835223915872827
83tbedtwax sealt"toilet"t0.0t0.9831695311343776
84tbedt"tank ball"t"toilet"t0.0t0.988099434317123
85tbedt"float ball"t"toilet"t0.0t0.9918127956591272
86tbedt"filler tube"t"toilet"t0.0t0.993734957384277
87tbedt"waste pipe"t"toilet"t0.0t0.9504465075770833
88tbedt"seat cover"t"toilet"t0.0t0.9804427232581242
89tbedt"cold-water supply line"t"toilet"t0.0t0.9673868133767559
90tbedt"overflow tube"t"toilet"t0.0t0.9633969424667743
91tbedt"trap"t"toilet"t0.0t0.9754708066334989
92tbedt"refill tube"t"toilet"t0.0t0.9891490704634818
93t"refrigerator"tpillowtbedt0.0t0.990099659750656
94t"refrigerator"t"bolster"tbedt0.0t0.9683831314180826
95t"refrigerator"t"mattress cover"tbedt0.0t0.9731556985213057
96t"refrigerator"tlegtbedt0.0t0.9882578500951389
97t"refrigerator"tbox springtbedt0.0t0.9856806338953107
98t"refrigerator"theadboardtbedt0.0t0.9555559558294325
99t"refrigerator"t"mattress"tbedt0.0t0.9886001856528703
100t"refrigerator"t"pillow protector"tbedt0.0t0.9688716870728602
101t"refrigerator"t"elastic"tbedt0.0t0.9796487626954735
102t"refrigerator"t"footboard"tbedt0.0t0.9461282785897952
103t"refrigerator"t"switch"t"refrigerator"t1.0t0.980390153846103
104t"refrigerator"t"refrigerator compartment"t"refrigerator"t1.0t0.9759125951436154
105t"refrigerator"t"egg tray"t"refrigerator"t1.0t0.9779952159445344
106t"refrigerator"tshelf channelt"refrigerator"t1.0t0.9812767803445548
107t"refrigerator"t"magnetic gasket"t"refrigerator"t1.0t0.9811458251246922
108t"refrigerator"t"storage door"t"refrigerator"t1.0t0.9808728866301653
109t"refrigerator"tfreezer doort"refrigerator"t1.0t0.9816218590555099
110t"refrigerator"tguard railt"refrigerator"t1.0t0.9900620242451141
111t"refrigerator"tcrispert"refrigerator"t1.0t0.9791977862412682
112t"refrigerator"tglass covert"refrigerator"t1.0t0.9762812389883587
113t"refrigerator"t"butter compartment"t"refrigerator"t1.0t0.9881030509654656
114t"refrigerator"t"thermostat control"t"refrigerator"t1.0t0.9911601308597192
115t"refrigerator"t"freezer compartment"t"refrigerator"t1.0t0.9798466874546984
116t"refrigerator"t"ice cube tray"t"refrigerator"t1.0t0.9771229596372869
117t"refrigerator"t"meat keeper"t"refrigerator"t1.0t0.9796606912849815
118t"refrigerator"t"door stop"t"refrigerator"t1.0t0.9892266496453596
119t"refrigerator"tshelft"refrigerator"t1.0t0.9874031594575366
120t"refrigerator"t"dairy compartment"t"refrigerator"t1.0t0.9809772049746215
121t"refrigerator"tdoor shelft"refrigerator"t1.0t0.9632401416943197
122t"refrigerator"tdrain hosetdishwashert0.0t0.984237743152774
123t"refrigerator"t"overflow protection switch"tdishwashert0.0t0.9738533552365781
124t"refrigerator"t"tub"tdishwashert0.0t0.9871423771516542
125t"refrigerator"tpumptdishwashert0.0t0.9952982719321933
126t"refrigerator"t"gasket"tdishwashert0.0t0.9747511303155514
127t"refrigerator"t"water hose"tdishwashert0.0t0.9765073401951198
