troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t3.092221602456871
1tbedt"bolster"tbedt1.0t-2.2223977538892163
2tbedt"mattress cover"tbedt1.0t3.332349633113147
3tbedtlegtbedt1.0t-0.5566743720828287
4tbedtbox springtbedt1.0t0.7004598445295044
5tbedtheadboardtbedt1.0t-0.03676157603809285
6tbedt"mattress"tbedt1.0t3.332349633113147
7tbedt"pillow protector"tbedt1.0t3.092221602456871
8tbedt"elastic"tbedt1.0t-0.17516038841340947
9tbedt"footboard"tbedt1.0t0.6964444883412688
10tbedt"switch"t"refrigerator"t0.0t-0.35578562304048766
11tbedt"refrigerator compartment"t"refrigerator"t0.0t-0.30844167479147044
12tbedt"egg tray"t"refrigerator"t0.0t-0.9926631052786332
13tbedtshelf channelt"refrigerator"t0.0t1.1840943967693314
14tbedt"magnetic gasket"t"refrigerator"t0.0t-1.6414977353285012
15tbedt"storage door"t"refrigerator"t0.0t-0.32991206831531145
16tbedtfreezer doort"refrigerator"t0.0t-0.8754686503942201
17tbedtguard railt"refrigerator"t0.0t-1.4487999004816525
18tbedtcrispert"refrigerator"t0.0t-1.978078351092737
19tbedtglass covert"refrigerator"t0.0t-0.4577465089860543
20tbedt"butter compartment"t"refrigerator"t0.0t-0.9053629660389848
21tbedt"thermostat control"t"refrigerator"t0.0t-1.0136045964245117
22tbedt"freezer compartment"t"refrigerator"t0.0t-0.8754686503942201
23tbedt"ice cube tray"t"refrigerator"t0.0t-1.64263653121078
24tbedt"meat keeper"t"refrigerator"t0.0t-1.6775531899214426
25tbedt"door stop"t"refrigerator"t0.0t-0.7669525651555358
26tbedtshelft"refrigerator"t0.0t1.1840943967693314
27tbedt"dairy compartment"t"refrigerator"t0.0t-1.5695731140067908
28tbedtdoor shelft"refrigerator"t0.0t-0.7669525651555358
29tbedtdrain hosetdishwashert0.0t-1.0741529449474734
30tbedt"overflow protection switch"tdishwashert0.0t-0.09408923585820694
31tbedt"tub"tdishwashert0.0t0.8056036678093422
32tbedtpumptdishwashert0.0t-1.1501781749300826
33tbedt"gasket"tdishwashert0.0t-1.8010452143207332
34tbedt"water hose"tdishwashert0.0t-1.9120479699477555
