troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t-0.1101388663803766
1tbedt"bolster"tbedt1.0t-0.17150933941336932
2tbedt"mattress cover"tbedt1.0t-0.12421508496361376
3tbedtlegtbedt1.0t0.39344940957822216
4tbedtbox springtbedt1.0t0.22602251856856254
5tbedtheadboardtbedt1.0t-0.4025671217933576
6tbedt"mattress"tbedt1.0t0.11232388131179233
7tbedt"pillow protector"tbedt1.0t-0.0329908710912224
8tbedt"elastic"tbedt1.0t-0.1704246359942961
9tbedt"footboard"tbedt1.0t-0.4025671217933576
10tbedt"switch"t"refrigerator"t0.0t-0.06746264081620967
11tbedt"refrigerator compartment"t"refrigerator"t0.0t-0.17083963226251916
12tbedt"egg tray"t"refrigerator"t0.0t-0.23303928981606598
13tbedtshelf channelt"refrigerator"t0.0t-0.5564071910632061
14tbedt"magnetic gasket"t"refrigerator"t0.0t0.08410940981260824
15tbedt"storage door"t"refrigerator"t0.0t-0.07299105065091135
16tbedtfreezer doort"refrigerator"t0.0t-0.07299105065091135
17tbedtguard railt"refrigerator"t0.0t-0.3530455784718882
18tbedtcrispert"refrigerator"t0.0t-0.3456714070318728
19tbedtglass covert"refrigerator"t0.0t-0.12421508496361376
20tbedt"butter compartment"t"refrigerator"t0.0t-0.17083963226251916
21tbedt"thermostat control"t"refrigerator"t0.0t-0.15718882746316523
22tbedt"freezer compartment"t"refrigerator"t0.0t-0.17083963226251916
23tbedt"ice cube tray"t"refrigerator"t0.0t-0.23303928981606598
24tbedt"meat keeper"t"refrigerator"t0.0t-0.21354028173803496
25tbedt"door stop"t"refrigerator"t0.0t-0.32586469222512127
26tbedtshelft"refrigerator"t0.0t-0.4457598380547321
27tbedt"dairy compartment"t"refrigerator"t0.0t-0.17083963226251916
28tbedtdoor shelft"refrigerator"t0.0t-0.4457598380547321
29tbedtdrain hosetdishwashert0.0t0.033613130451151045
30tbedt"overflow protection switch"tdishwashert0.0t-0.06746264081620967
31tbedt"tub"tdishwashert0.0t-0.09274101923110575
32tbedtpumptdishwashert0.0t-0.18502882883080382
33tbedt"gasket"tdishwashert0.0t0.08410940981260824
34tbedt"water hose"tdishwashert0.0t0.033613130451151045
35tbedt"heating element"tdishwashert0.0t-0.14788269919012187
36tbedtracktdishwashert0.0t-0.31562833405732943
37tbedt"cutlery basket"tdishwashert0.0t0.17988252293842688
38tbedt"wash tower"tdishwashert0.0t-0.36339124124392325
39tbedt"motor"tdishwashert0.0t-0.28818469059074237
40tbedt"detergent dispenser"tdishwashert0.0t-0.1276493626121696
41tbedtslidetdishwashert0.0t0.1356954090159754
42tbedt"leveling foot"tdishwashert0.0t0.010983445528776024
43tbedt"insulating material"tdishwashert0.0t-0.28375589997365847
44tbedtspray armtdishwashert0.0t0.039180455676639636
45tbedtrinse-aid dispensertdishwashert0.0t-0.1276493626121696
46tbedtlocktdoort0.0t0.10957209061028678
47tbedtcornicetdoort0.0t0.05559007582366919
48tbedt"hanging stile"tdoort0.0t0.04838267652970787
49tbedt"entablature"tdoort0.0t-0.2760700401849843
50tbedt"top rail"tdoort0.0t-0.3530455784718882
51tbedtmiddle paneltdoort0.0t-0.2844409433904294
52tbedt"bottom rail"tdoort0.0t-0.3530455784718882
53tbedtpaneltdoort0.0t-0.2844409433904294
54tbedtjambtdoort0.0t-0.1218575960401093
55tbedtdoorknobtdoort0.0t-0.6534315319268982
56tbedt"threshold"tdoort0.0t-0.2920655002935685
57tbedt"weatherboard"tdoort0.0t-0.4025671217933576
58tbedtlock railtdoort0.0t-0.3530455784718882
59tbedt"shutting stile"tdoort0.0t0.04838267652970787
60tbedtheadertdoort0.0t-0.15972648223784394
61tbedtringt"mortise lock"t0.0t-0.447780931830278
62tbedtkeywayt"mortise lock"t0.0t0.2632435903644121
63tbedt"cotter pin"t"mortise lock"t0.0t-0.10036352593511602
64tbedtspringt"mortise lock"t0.0t0.22602251856856254
65tbedt"rotor"t"mortise lock"t0.0t0.011644016226181874
66tbedtcylinder caset"mortise lock"t0.0t-0.2747401373758675
67tbedtkeyt"mortise lock"t0.0t0.25996915311722685
68tbedt"faceplate"t"mortise lock"t0.0t-0.006015589578867974
69tbedt"dead bolt"t"mortise lock"t0.0t-0.34117672987848785
70tbedtcylindert"mortise lock"t0.0t0.35946739929876703
71tbedt"stator"t"mortise lock"t0.0t-0.14891918363639695
