t"concept"t"instance"tpreptscoretp
0tbedtpillowt"part of"t-0.9787296435034148t3.4192395105492324e-05
1tbedtpillowt"next to"t1.1527783349790766t0.0266887117177248
2tbedtpillowtused byt-0.7277502434377033t0.003149580443277955
3tbedtpillowt"close to"t0.12735525130830125t0.0021930006332695484
4tbedtpillowt"compared to"t-1.0385988552788383t3.228261266485788e-05
5tbedt"mattress"t"part of"t-0.13504760048434297t0.00013728243357036263
6tbedt"mattress"t"next to"t1.6013462363459077t0.02401181124150753
7tbedt"mattress"tused byt-0.24118196493124291t0.006084337830543518
8tbedt"mattress"t"close to"t0.9894328106768717t0.008299363777041435
9tbedt"mattress"t"compared to"t0.41871659290917806t0.001600667485035956
10tdishwashertpumpt"part of"t-0.41773427304676364t8.925293514039367e-05
11tdishwashertpumpt"next to"t0.31636072143819993t0.00031344458693638444
12tdishwashertpumptused byt0.20391725468627306t0.011536492966115475
13tdishwashertpumpt"close to"t-0.370335597068128t0.00029174983501434326
14tdishwashertpumpt"compared to"t0.6187001180501128t0.00019899234757758677
15tdishwashert"motor"t"part of"t-0.3710668494844066t2.6152871214435436e-05
16tdishwashert"motor"t"next to"t0.11274934902154628t3.3321655791951343e-05
17tdishwashert"motor"tused byt0.5988148954855536t0.03230685368180275
18tdishwashert"motor"t"close to"t-0.7426493920067742t3.0688068363815546e-05
19tdishwashert"motor"t"compared to"t-0.17387334036907767t3.639987698988989e-05
20tdoortlockt"part of"t-0.1013533028676437t0.00025710390764288604
21tdoortlockt"next to"t0.7026158453690541t0.0006426424370147288
22tdoortlocktused byt-0.5303304062878742t0.002132717752829194
23tdoortlockt"close to"t-0.6732268976182394t0.00020210217917338014
24tdoortlockt"compared to"t-1.2943706611516521t1.8817963791661896e-06
25tdoortdoorknobt"part of"t-0.23264520532953456t8.411701855948195e-05
26tdoortdoorknobt"next to"t0.8400010164360595t0.0033532322850078344
27tdoortdoorknobtused byt0.11045093452299547t0.0006530729588121176
28tdoortdoorknobt"close to"t0.6725964592109702t0.003024208592250943
29tdoortdoorknobt"compared to"t0.06561273960579297t1.2870884802396176e-06
30t"mortise lock"tkeywayt"part of"t-0.41893120069905115t0.0003326954320073128
31t"mortise lock"tkeywayt"next to"t-1.1769927117988939t9.016910917125642e-05
32t"mortise lock"tkeywaytused byt1.0966872288627862t0.057985443621873856
33t"mortise lock"tkeywayt"close to"t-0.7768260876372134t0.000466876634163782
34t"mortise lock"tkeywayt"compared to"t1.3608367693434624t0.0003607801627367735
35t"mortise lock"tcylindert"part of"t-0.0336852099710682t0.0001757669379003346
36t"mortise lock"tcylindert"next to"t-0.8552319473426349t1.3000112630834337e-05
37t"mortise lock"tcylindertused byt0.9994867404800423t0.049978770315647125
38t"mortise lock"tcylindert"close to"t-0.677614402507212t0.0002810420992318541
39t"mortise lock"tcylindert"compared to"t-1.1693388884584297t4.830503530683927e-05
40t"refrigerator"t"egg tray"t"part of"t-0.8177200324934001t7.5033490247733425e-06
41t"refrigerator"t"egg tray"t"next to"t-0.44503915106437797t0.0010044325608760118
42t"refrigerator"t"egg tray"tused byt-0.9616047901346045t0.0003746265429072082
43t"refrigerator"t"egg tray"t"close to"t-1.1202781540363342t4.8636935389367864e-05
44t"refrigerator"t"egg tray"t"compared to"t-1.4147896320523148t3.363641553733032e-06
45t"refrigerator"t"switch"t"part of"t-0.3798864839091492t0.00010990599548676983
46t"refrigerator"t"switch"t"next to"t0.14987500890387767t0.0002860949607565999
47t"refrigerator"t"switch"tused byt-0.0015843898026706533t0.013553665950894356
48t"refrigerator"t"switch"t"close to"t-0.8244682208230402t5.0052291044266894e-05
49t"refrigerator"t"switch"t"compared to"t-0.7643229452037383t3.6819321849179687e-06
50t"toilet"tflush handlet"part of"t-0.31959304740504424t9.029640204971656e-05
51t"toilet"tflush handlet"next to"t0.5408453693770172t0.0008972758078016341
52t"toilet"tflush handletused byt-0.05645747824119659t0.015549845062196255
53t"toilet"tflush handlet"close to"t0.16576101242967128t0.0005609977524727583
54t"toilet"tflush handlet"compared to"t0.35632064824768617t5.9883368521695957e-05
55t"toilet"t"seat"t"part of"t0.04967393287630975t9.163600043393672e-05
56t"toilet"t"seat"t"next to"t1.2242567708080194t0.005374584347009659
57t"toilet"t"seat"tused byt0.46513957294828906t0.007651886902749538
58t"toilet"t"seat"t"close to"t0.3195440082798334t0.004648663103580475
59t"toilet"t"seat"t"compared to"t1.879364396666606t0.003154462669044733
