t"concept"t"instance"t"relation"tscoretp
0tbedtpillowt"part of"t0.18209644203159206t5.999361019348726e-05
1tbedtpillowt"next to"t0.09018678400146689t0.001851424342021346
2tbedtpillowtused byt-0.0876013867424396t0.01338435523211956
3tbedtpillowt"close to"t-1.0523536219119927t0.0002814262406900525
4tbedtpillowt"compared to"t-0.44075057031222203t2.764947021205444e-05
5tbedt"mattress"t"part of"t0.5428496964902431t0.00021377485245466232
6tbedt"mattress"t"next to"t0.5936891283701832t0.0006771838525310159
7tbedt"mattress"tused byt-0.25105911127266156t0.004361940547823906
8tbedt"mattress"t"close to"t0.16444884736665175t0.000898263999260962
9tbedt"mattress"t"compared to"t0.0015707640029709415t4.152524343226105e-05
10tdishwashertpumpt"part of"t-0.17565797589617288t2.741734715527855e-05
11tdishwashertpumpt"next to"t0.5763499170722142t0.0008041486726142466
12tdishwashertpumptused byt0.07393807514399431t0.017982888966798782
13tdishwashertpumpt"close to"t-0.21665969189403772t0.0004158799129072577
14tdishwashertpumpt"compared to"t0.29326699085556834t6.25930042588152e-05
15tdishwashert"motor"t"part of"t0.281032844649016t4.832733975490555e-05
16tdishwashert"motor"t"next to"t0.4181141021520273t0.00019877581507898867
17tdishwashert"motor"tused byt0.9707512034948537t0.09654957056045532
18tdishwashert"motor"t"close to"t-0.30887604620975784t0.00010494868183741346
19tdishwashert"motor"t"compared to"t0.711912055063544t0.00014826505503151566
20tdoortlockt"part of"t0.10393173938470276t8.16434039734304e-05
21tdoortlockt"next to"t-0.3049027455380081t0.00042978537385351956
22tdoortlocktused byt0.9123507552961464t0.025640418753027916
23tdoortlockt"close to"t-1.2171727268273067t0.0003788862086366862
24tdoortlockt"compared to"t-1.2556009733802567t3.852383542835014e-06
25tdoortdoorknobt"part of"t0.47155277162728193t0.00012710476585198194
26tdoortdoorknobt"next to"t0.4203467745418807t0.0003809146583080292
27tdoortdoorknobtused byt0.34877552730909694t0.0008722475031390786
28tdoortdoorknobt"close to"t0.4463016489004471t0.0002866984286811203
29tdoortdoorknobt"compared to"t-0.11449915597509465t2.2002946309385152e-07
30t"mortise lock"tkeywayt"part of"t-0.8381796431595814t7.1568488237971906e-06
31t"mortise lock"tkeywayt"next to"t-0.6611577438714055t9.559690079186112e-05
32t"mortise lock"tkeywaytused byt0.4613206061189862t0.00920523889362812
33t"mortise lock"tkeywayt"close to"t-0.22025428294113372t0.00016554573085159063
34t"mortise lock"tkeywayt"compared to"t0.23219770522549207t1.4171616385283414e-05
35t"mortise lock"tcylindert"part of"t-0.44316462997629347t9.231797776010353e-06
36t"mortise lock"tcylindert"next to"t-0.9552151823765318t5.3403768106363714e-05
37t"mortise lock"tcylindertused byt0.39357112843299313t0.009705758653581142
38t"mortise lock"tcylindert"close to"t-0.7318689568727995t0.0008257167064584792
39t"mortise lock"tcylindert"compared to"t-1.3563541065681974t9.59952285484178e-06
40t"refrigerator"t"egg tray"t"part of"t-0.19638110178923113t3.3414780773455277e-06
41t"refrigerator"t"egg tray"t"next to"t0.273745597513337t0.012202803045511246
42t"refrigerator"t"egg tray"tused byt-0.20233029540870126t0.001350201666355133
43t"refrigerator"t"egg tray"t"close to"t-0.5435545762513607t0.00023676174168940634
44t"refrigerator"t"egg tray"t"compared to"t-0.4441843390437507t2.2844813429401256e-05
45t"refrigerator"t"switch"t"part of"t-0.769753488578617t3.0436881388595793e-06
46t"refrigerator"t"switch"t"next to"t-0.28968179047904147t0.0013298754347488284
47t"refrigerator"t"switch"tused byt0.2639656001439193t0.00992661900818348
48t"refrigerator"t"switch"t"close to"t-0.6582066887114753t0.00045031579793430865
49t"refrigerator"t"switch"t"compared to"t-0.33002626093914167t1.2142331797804218e-05
50t"toilet"tflush handlet"part of"t-0.46704443692764397t6.928665698069381e-06
51t"toilet"tflush handlet"next to"t-0.23954073021901667t0.0003830292262136936
52t"toilet"tflush handletused byt0.6748129360911082t0.01473983284085989
53t"toilet"tflush handlet"close to"t-0.4909102339518399t0.0001029795384965837
54t"toilet"tflush handlet"compared to"t-0.2617326632011683t7.538567388110096e-06
55t"toilet"t"seat"t"part of"t0.3941172924630884t1.8454511518939398e-05
56t"toilet"t"seat"t"next to"t2.576159312142257t0.0022163111716508865
57t"toilet"t"seat"tused byt1.6116259769998924t0.040727246552705765
58t"toilet"t"seat"t"close to"t1.8336260894808t0.0011325775412842631
59t"toilet"t"seat"t"compared to"t3.0042773590500174t0.0006190614076331258
